id,name,name_alternative,location,parent_id,parent_name
1629-hmc-academy,HMC Academy,"Hawaii Martial Arts Center, Team HMC, Team Chinaman, HMC格闘技留学ハワイ, ハワイ格闘技留学","Honolulu, Hawaii",,
1631-jesus-is-lord-gym,Jesus is Lord,,"Honolulu, Hawaii",,
1632-martial-arts-co,Martial Arts Co.,Martial Arts Company,"Kailua Village, Hawaii",,
1633-mma-development,MMA Development,,"Honolulu, Hawaii",,
1639-west-oahu-mma,West Oahu MMA,,"Waianae, Hawaii",,
1661-lionsport-mma,LionSport MMA,American Top Team New York,"Franklin Square, New York",,
1666-brooklyn-mma,Brooklyn MMA,,"Brooklyn, New York",,
1668-class-one-mma,Class One MMA,C1 MMA,"Brooklyn, New York",,
167-evolve-mma,Evolve MMA,,Singapore,,
168-tribe-tokyo-mma,TRIBE TOKYO MMA,,"Tokyo, Japan",,
1696-serra-jiu-jitsu,Serra Jiu-Jitsu,Serra BJJ,"Huntington, New York",,
1704-karate-mafia-mma-relson-gracie-bjj,Karate Mafia MMA,,"Shreveport, Louisiana",,
1706-relson-gracie-brazilian-jiu-jitsu-bossier-city,Relson Gracie Brazilian Jiu Jitsu,Relson Gracie BJJ,"Shreveport, Louisiana",,
1714-dexter-mma,Team Dexter Vale Tudo,"Dexter MMA, Roughhouse","Groton, Connecticut",,
1721-thornton-martial-arts,Thornton Martial Arts,,"Hartford, Connecticut",,
1727-tim-burrill-brazilian-jiu-jitsu,Tim Burrill Brazilian Jiu-Jitsu,,"Providence, Rhode Island",,
1756-grabaka,GRABAKA,,,,
1777-hammers-team,Hammers Team,,"Nuremberg, Germany",,
1782-piranha-grappling-team,Piranha Grappling Team,,"Gdynia, Poland",,
181-mma-masters,MMA MASTERS,,"Miami, Florida",,
1813-genesis-bjj,Genesis BJJ,Genesis Brazilian Jiu Jitsu,"River Oaks, Texas",,
1832-impact-mma,Impact MMA,Impact Gym,Singapore,,
1837-allstars-training-center,Allstars Training Center,,"Stockholm, Sweden",,
184-team-nogueira-dubai,Team Nogueira Dubai,,"Dubai, United Arab Emirates",98-team-nogueira,Team Nogueira
1847-penn-fitness-training-center,Penn Fitness & Training Center,BJ Penn Fitness & Training,"Hilo, Hawaii",,
185-ama-fight-club,AMA Fight Club,,"Whippany, New Jersey",,
1855-total-mma-studios,Total MMA Studios,Brazilian Top Team Orange County,"Tustin, California",,
1856-tracy-hess-subfighter-mma,Tracy Hess' Subfighter MMA,,"Seal Beach, California",,
1862-jetsaam-gym-brno,JETSAAM GYM BRNO,,"Brno, Czech Republic",,
