bout_id,fighter_id,weigh_in_result,fight_night_weight,weight_gain
438958-ufc-on-espn-13-julianna-the-venezuelan-vixen-pena-vs-nicco-montano,julianna-pena-the-venezuelan-vixen,135.5 lbs (61.5 kgs),142.2 lbs (64.5 kgs),"6.7 lbs (3.0 kgs, +5%)"
438958-ufc-on-espn-13-julianna-the-venezuelan-vixen-pena-vs-nicco-montano,78912-nicco-montano,135.5 lbs (61.5 kgs),153.2 lbs (69.5 kgs),"17.7 lbs (8.0 kgs, +13%)"
433419-ufc-on-espn-13-andre-touchy-fili-vs-sheymon-moraes,11328-andre-fili-dre-duke,145.5 lbs (66.0 kgs),160.6 lbs (72.8 kgs),"15.1 lbs (6.8 kgs, +10%)"
433419-ufc-on-espn-13-andre-touchy-fili-vs-sheymon-moraes,32709-sheymon-da-silva-moraes,146.0 lbs (66.2 kgs),170.2 lbs (77.2 kgs),"24.2 lbs (11.0 kgs, +17%)"
442380-ufc-on-espn-13-slow-mike-rodriguez-vs-john-allan,20841-mike-rodriguez,204.5 lbs (92.8 kgs),216.8 lbs (98.3 kgs),"12.3 lbs (5.6 kgs, +6%)"
442380-ufc-on-espn-13-slow-mike-rodriguez-vs-john-allan,55658-john-allan,203.0 lbs (92.1 kgs),218.4 lbs (99.0 kgs),"15.4 lbs (7.0 kgs, +8%)"
427057-ufc-on-espn-13-cezar-mutante-ferreira-vs-marvin-the-italian-dream-vettori,50533-marvin-vettori,185.5 lbs (84.1 kgs),211.0 lbs (95.7 kgs),"25.5 lbs (11.6 kgs, +14%)"
427057-ufc-on-espn-13-cezar-mutante-ferreira-vs-marvin-the-italian-dream-vettori,cesar-jesus-ferreira-mutante,185.5 lbs (84.1 kgs),200.0 lbs (90.7 kgs),"14.5 lbs (6.6 kgs, +8%)"
437981-ufc-on-espn-13-karl-baby-k-roberson-vs-wellington-fofao-turman,45190-karl-robinson,185.5 lbs (84.1 kgs),206.4 lbs (93.6 kgs),"20.9 lbs (9.5 kgs, +11%)"
437981-ufc-on-espn-13-karl-baby-k-roberson-vs-wellington-fofao-turman,70129-wellington-turman-fofo,185.0 lbs (83.9 kgs),202.2 lbs (91.7 kgs),"17.2 lbs (7.8 kgs, +9%)"
432727-ufc-on-espn-13-josh-emmett-vs-mirsad-bektic,51295-josh-emmett,146.0 lbs (66.2 kgs),166.8 lbs (75.7 kgs),"20.8 lbs (9.4 kgs, +14%)"
432727-ufc-on-espn-13-josh-emmett-vs-mirsad-bektic,mirsad-bektic,145.0 lbs (65.8 kgs),166.8 lbs (75.7 kgs),"21.8 lbs (9.9 kgs, +15%)"
434614-ufc-on-espn-13-the-california-kid-urijah-faber-vs-ricky-simon,urijah-faber-the-california-kid,135.5 lbs (61.5 kgs),153.6 lbs (69.7 kgs),"18.1 lbs (8.2 kgs, +13%)"
434614-ufc-on-espn-13-the-california-kid-urijah-faber-vs-ricky-simon,33229-ricky-simon,134.5 lbs (61.0 kgs),151.8 lbs (68.9 kgs),"17.3 lbs (7.8 kgs, +13%)"
434913-ufc-on-espn-13-aspen-ladd-vs-germaine-the-iron-lady-de-randamie,germaine-de-randamie-the-iron-lady,136.0 lbs (61.7 kgs),148.0 lbs (67.1 kgs),"12.0 lbs (5.4 kgs, +9%)"
434913-ufc-on-espn-13-aspen-ladd-vs-germaine-the-iron-lady-de-randamie,45561-aspen-ladd,135.0 lbs (61.2 kgs),159.0 lbs (72.1 kgs),"24.0 lbs (10.9 kgs, +18%)"
437666-ufc-241-sabina-colombian-queen-mazo-vs-shana-danger-dobson,92893-sabina-mazo,126.0 lbs (57.2 kgs),145.6 lbs (66.0 kgs),"19.6 lbs (8.9 kgs, +16%)"
437666-ufc-241-sabina-colombian-queen-mazo-vs-shana-danger-dobson,90374-shana-dobson,124.5 lbs (56.5 kgs),136.0 lbs (61.7 kgs),"11.5 lbs (5.2 kgs, +9%)"
439362-ufc-241-brandon-killerb-davis-vs-kyung-ho-mr-perfect-kang,kyung-ho-kang,136.0 lbs (61.7 kgs),156.4 lbs (70.9 kgs),"20.4 lbs (9.3 kgs, +15%)"
439362-ufc-241-brandon-killerb-davis-vs-kyung-ho-mr-perfect-kang,74551-brandon-davis,136.0 lbs (61.7 kgs),156.0 lbs (70.8 kgs),"20.0 lbs (9.1 kgs, +15%)"
438089-ufc-241-shockwave-hannah-cifers-vs-jodie-esquibel,34495-hannah-cifers,114.5 lbs (51.9 kgs),125.6 lbs (57.0 kgs),"11.1 lbs (5.0 kgs, +10%)"
438089-ufc-241-shockwave-hannah-cifers-vs-jodie-esquibel,20241-jodie-esquibel,116.0 lbs (52.6 kgs),127.8 lbs (58.0 kgs),"11.8 lbs (5.4 kgs, +10%)"
442949-ufc-241-manny-the-bermuda-triangle-bermudez-vs-casey-kenney,63593-casey-kenny,139.0 lbs (63.0 kgs),145.0 lbs (65.8 kgs),"6.0 lbs (2.7 kgs, +4%)"
442949-ufc-241-manny-the-bermuda-triangle-bermudez-vs-casey-kenney,30736-manny-bermuedez,140.0 lbs (63.5 kgs),164.8 lbs (74.8 kgs),"24.8 lbs (11.2 kgs, +18%)"
445383-ufc-241-drakkar-klose-vs-christos-the-spartan-giagos,29515-drakkar-klose,155.5 lbs (70.5 kgs),175.2 lbs (79.5 kgs),"19.7 lbs (8.9 kgs, +13%)"
445383-ufc-241-drakkar-klose-vs-christos-the-spartan-giagos,38606-christos-giagos-the-spartan,155.0 lbs (70.3 kgs),176.2 lbs (79.9 kgs),"21.2 lbs (9.6 kgs, +14%)"
433768-ufc-241-raphael-assuncao-vs-cory-sandhagen,32931-cory-sandhagen,136.0 lbs (61.7 kgs),149.2 lbs (67.7 kgs),"13.2 lbs (6.0 kgs, +10%)"	
433768-ufc-241-raphael-assuncao-vs-cory-sandhagen,raphael-assuncao,136.0 lbs (61.7 kgs),153.2 lbs (69.5 kgs),"17.2 lbs (7.8 kgs, +13%)"
448813-ufc-241-devonte-king-cage-smith-vs-khama-the-deathstar-worthy,28222-khama-worthy,155.5 lbs (70.5 kgs),167.6 lbs (76.0 kgs),"12.1 lbs (5.5 kgs, +8%)"
448813-ufc-241-devonte-king-cage-smith-vs-khama-the-deathstar-worthy,31601-devonte-smith-johnny-cage,156.0 lbs (70.8 kgs),163.8 lbs (74.3 kgs),"7.8 lbs (3.5 kgs, +5%)"
435470-ufc-241-derek-brunson-vs-ian-the-hurricane-heinisch,Derek-Brunson,186.0 lbs (84.4 kgs),204.8 lbs (92.9 kgs),"18.8 lbs (8.5 kgs, +10%)"
435470-ufc-241-derek-brunson-vs-ian-the-hurricane-heinisch,77683-ian-heinisch,185.5 lbs (84.1 kgs),203.5 lbs (92.3 kgs),"18.0 lbs (8.2 kgs, +10%)"
436470-ufc-241-super-sodiq-yusuff-vs-gabriel-moggly-benitez,58362-sodiq-yusuff,145.0 lbs (65.8 kgs),169.2 lbs (76.7 kgs),"24.2 lbs (11.0 kgs, +17%)"
436470-ufc-241-super-sodiq-yusuff-vs-gabriel-moggly-benitez,27087-gabriel-benitez-moggly,146.0 lbs (66.2 kgs),164.6 lbs (74.7 kgs),"18.6 lbs (8.4 kgs, +13%)"
430366-ufc-241-yoel-soldier-of-god-romero-vs-paulo-borrachinha-costa,64306-paulo-henrique-costa-borrachinha,186.0 lbs (84.4 kgs),213.8 lbs (97.0 kgs),"27.8 lbs (12.6 kgs, +15%)"
430366-ufc-241-yoel-soldier-of-god-romero-vs-paulo-borrachinha-costa,16155-yoel-romero-palacio,184.5 lbs (83.7 kgs),207.2 lbs (94.0 kgs),"22.7 lbs (10.3 kgs, +12%)"
431251-ufc-241-nate-diaz-vs-anthony-showtime-pettis,nate-diaz,170.0 lbs (77.1 kgs),180.0 lbs (81.6 kgs),"10.0 lbs (4.5 kgs, +6%)"
431251-ufc-241-nate-diaz-vs-anthony-showtime-pettis,anthony-pettis-showtime,169.5 lbs (76.9 kgs),177.2 lbs (80.4 kgs),"7.7 lbs (3.5 kgs, +5%)"
428386-ufc-241-daniel-dc-cormier-vs-stipe-miocic-ii,stipe-miocic,230.5 lbs (104.6 kgs),233.0 lbs (105.7 kgs),"2.5 lbs (1.1 kgs, +1%)"
