id,name,nickname
1970,Danny Downes,Boy
1974,Chris Cope,C-Murder
1980,Maciej Jewtuszko,Irokez
1985,Manny Rodriguez,Chalate
1987,Curt Warburton,The War
1988,Vinicius Queiroz,Spartan
2004,Damian Grabowski,Polish Pitbull
2005,Aisling Daly,Ais the Bash
2006,Sean McCorkle,Big Sexy
2007,Tom Blackledge,
2009,Caros Fodor,The Future
2011,Angela Magana,Your Majesty
2012,Chad Griggs,The Grave Digger
2032,Todd Brown,Bulldog
2033,Josh Shockley,
2034,Dustin Poirier,The Diamond
2035,Paul Sass,Sassangle
2037,Ryan Couture,
2043,Carla Esparza,The Cookie Monster
2047,Liz Carmouche,Girl-Rilla
2048,Tiequan Zhang,The Wolf
2066,Kenny Robertson,
2067,Chico Camus,The King
2068,Kevin Croom,Crash
2078,Andrew Craig,Highlight
2086,Steven Peterson,Ocho
2099,Edson Barboza,Junior
2100,Carlos Eduardo Rocha,Ta Danado
2101,Pascal Krauss,Panzer
2102,Maiquel Falcão,Big Rig
2116,Pablo Garza,The Scarecrow
2123,Jason Young,Shotgun
2125,Jake Hecht,Hitman
2128,Shunichi Shimizu,Rolling Star
2131,Reza Madadi,Mad Dog
2132,Tor Troéng,The Hammer
2137,Magnus Cedenblad,Jycken
2143,Danny Mitchell,The Cheesecake Assassin
2144,Nico Musoke,Nico
2153,Edward Faaloloto,Falo
2156,TJ Waldburger,
2162,Mark Scanlon,Scanno
2163,John Makdessi,The Bull
2169,Jesse Bongfeldt,Water
2172,John Dodson,The Magician
2173,John Moraga,Chicano
2182,T.J. O'Brien,The Spider
2184,Kajan Johnson,Ragin
2187,Ivan Menjivar,Pride of El Salvador
2188,Iuri Alcântara,Marajó
2190,Jorge de Oliveira,Blade
2191,Jussier Formiga,
2200,Dhiego Lima,
2201,Ken Stone,
2203,Justin Lawrence,The American Kid
2207,Mike Lullo,
2219,Michael Johnson,The Menace
2220,Sako Chivitchian,The Psycho
2221,Aaron Wilkinson,The Daywalker
2222,Cody McKenzie,AK Kid
2225,Amanda Nunes,The Lioness
2229,Rin Nakai,
2247,Alex Caceres,Bruce Leeroy
2259,Luke Sanders,Cool Hand
2269,Germaine de Randamie,The Iron Lady
2273,Gian Villante,
2277,Sheldon Westcott,
2296,John Cholish,
2298,Darrell Montague,The Mongoose
2301,Collin Hart,The Dick
2305,Alan Jouban,Brahma
2308,Jorge Lopez,Lil' Monster
2309,Chris Weidman,The All-American
2310,Reuben Duran,Hurricane
2314,Marcin Held,
2329,Joe Duffy,Irish
2335,John Phillips,The Welsh Wrecking Machine
2342,Joseph Sandoval,
2355,Ryan Benoit,Baby Face
2365,Kevin Aguilar,The Angel of Death
2371,Jan Błachowicz,
2384,Nazareno Malegarie,El Tigre
2387,Jerrod Sanders,J-Reazie
2394,Edwin Figueroa,El Feroz
2398,John Olav Einemo,The Viking
2405,Robbie Peralta,Problems
2406,Lorenz Larkin,The Monsoon
2432,Rashid Magomedov,Gorets
2434,Alexander Yakovlev,Thunder of the North
2439,Alexander Volkov,Drago
2442,James Head,
2445,Anthony Birchak,El Toro
2452,Chidi Njokuani,Bang Bang
2455,Walel Watson,The Pharaoh
2459,Alex Perez,
2464,Shane Howell,Insane
2466,Sheila Gaff,The German Tank
2470,Ian Entwistle,Thief
2474,Jack Hermansson,The Joker
2477,Azunna Anyanwu,Zulu
2496,Sam Alvey,Smilin
2503,Sirwan Kakai,Zohan
2510,Eric Wisely,Little Lee
2511,Bristol Marunde,
2526,Thiago Santos,Marreta
2554,Jared Rosholt,The Big Show
2556,Erick Silva,The Tiger
2558,Craig White,The Thundercat
2562,Cathal Pendred,The Punisher
2567,Ramsey Nijem,Nasty
2568,Tony Ferguson,El Cucuy
2571,Clay Harvison,Heavy Metal
2573,Elvis Mutapčić,The King
2576,Steve Garcia,Mean Machine
2579,Jordan Mein,Young Gun
2581,Antonio Carvalho,Pato
2585,Roland Delorme,Stunning
2588,Alex Ricci,
2592,Adlan Amagov,Borz
2593,Ronald Stallings,The Choir Boy
2594,Derek Brunson,The One
2597,Yuri Villefort,
2599,Trevor Smith,Hot Sauce
2601,Nah-shon Burrell,The Rock-n-Rolla
2604,Ryan LaFlare,
2605,Ronny Markes,
2606,Josh Samman,Anqa
2610,Derrick Lewis,The Black Beast
2611,Costas Philippou,
2626,Donny Walker,Eagle Eye
2627,Jeff Hougland,Hellbound
2628,Ilir Latifi,The Sledgehammer
2629,Jeremy Kimball,Grizzly
2633,Charles Byrd,Kid Dynamite
2635,Matt Hobar,The Crowbar
2642,Mairbek Taisumov,Beckan
2651,Erik Perez,Goyito
2674,Felipe Arantes,Sertanejo
2677,Chris Saunders,The So Cal Kid
2692,Johnny Eduardo,Pretinho
2693,Alexis Davis,Ally-Gator
2698,Papy Abedi,Makambo
2702,Lance Benoist,
2703,Mike Easton,The Hulk
2704,Sara McMann,
2705,Jimy Hettes,The Kid
2713,Luis Ramos,Beição
2727,Alex Morono,The Great White
