fighter_id,bout_id,gym_id,gym_name,gym_purpose
tra-telligman-trauma,ufc-155-tra-trauma-telligman-vs-brad-kohler,299-lions-den-texas,Lion's Den Texas,
yoji-anjo-mr-200,2381-ufc-15-5-david-tank-abbott-vs-yoji-mr-200-anjo,,Team Kingdom,
marcus-silveira-conan,2388-ufc-155-the-gracie-hunter-kazushi-sakuraba-vs-marcus-conan-silveira-i,29-american-top-team,American Top Team,
kazushi-sakuraba-the-gracie-hunter,2388-ufc-155-the-gracie-hunter-kazushi-sakuraba-vs-marcus-conan-silveira-i,3613-laughter7,Laughter7,
frank-shamrock-the-legend,2396-ufc-155-frank-the-legend-shamrock-vs-kevin-jackson,,The Alliance,
vitor-belfort-the-phenom,2404-ufc-155-vitor-the-phenom-belfort-vs-joe-the-ghetto-man-charles,,Independent,
marcus-silveira-conan,ufc-155-the-gracie-hunter-kazushi-sakuraba-vs-marcus-conan-silveira-ii-2,29-american-top-team,American Top Team,
kazushi-sakuraba-the-gracie-hunter,ufc-155-the-gracie-hunter-kazushi-sakuraba-vs-marcus-conan-silveira-ii-2,3613-laughter7,Laughter7,
randy-couture-the-natural,2420-ufc-15-5-randy-the-natural-couture-vs-maurice-mo-smith,724-xtreme-couture,Xtreme Couture,
maurice-smith-mo,2420-ufc-15-5-randy-the-natural-couture-vs-maurice-mo-smith,,The Alliance,
laverne-clark,ufc-16-laverne-clark-vs-josh-stuart,1149-miletich-fighting-systems,Miletich Fighting Systems,
pat-miletich-the-croation-sensation,2966-ufc-16-the-croation-sensation-pat-miletich-vs-chris-the-westside-strangler-brennan-ii,1149-miletich-fighting-systems,Miletich Fighting Systems,
chris-brennan-the-westside-strangler,2966-ufc-16-the-croation-sensation-pat-miletich-vs-chris-the-westside-strangler-brennan-ii,7370-next-generation-mma-world-hq,Next Generation MMA World HQ,
mikey-burnett-the-eastside-assassin,2957-ufc-16-mikey-the-eastside-assassin-burnett-vs-eugenio-tadeu,299-lions-den-texas,Lion's Den Texas,
pat-miletich-the-croation-sensation,2960-ufc-16-the-croation-sensation-pat-miletich-vs-townsend-saunders,1149-miletich-fighting-systems,Miletich Fighting Systems,
jerry-bohlander,2964-ufc-16-jerry-bohlander-vs-kevin-jackson,298-lions-den,Lion's Den,
tsuyoshi-kosaka-tk,2969-ufc-16-tsuyoshi-tk-kosaka-vs-kimo-leopoldo,3570-alliance-square,ALLIANCE,
frank-shamrock-the-legend,2971-ufc-16-frank-the-legend-shamrock-vs-igor-houdini-zinoviev,,The Alliance,
chris-brennan-the-westside-strangler,ufc-16-chris-the-westside-strangler-brennan-vs-courtney-turner,7370-next-generation-mma-world-hq,Next Generation MMA World HQ,
chuck-liddell-the-iceman,2972-ufc-17-chuck-the-iceman-liddell-vs-noe-hernandez,717-the-pit,The Pit,
dan-henderson-hollywood,1351-ufc-17-dan-hendo-henderson-vs-allan-goes,902-team-quest,Team Quest,
bob-gilstrap,1355-ufc-17-carlos-the-ronin-newton-vs-bob-gilstrap,1066-amc-pankration,AMC Pankration,
carlos-newton-the-ronin,1355-ufc-17-carlos-the-ronin-newton-vs-bob-gilstrap,1455-warrior-mixed-martial-arts,Warrior Mixed Martial Arts,
hugo-duarte,1361-ufc-17-david-tank-abbott-vs-hugo-duarte,,Hugo Duarte Luta Livre,
carlos-newton-the-ronin,1365-ufc-17-dan-hendo-henderson-vs-carlos-the-ronin-newton,1455-warrior-mixed-martial-arts,Warrior Mixed Martial Arts,
dan-henderson-hollywood,1365-ufc-17-dan-hendo-henderson-vs-carlos-the-ronin-newton,902-team-quest,Team Quest,
mark-coleman-the-hammer,1371-ufc-17-pete-el-duro-williams-vs-mark-the-hammer-coleman,7988-immortal-martial-arts-center,Immortal Martial Arts Center,
pete-williams-el-duro,1371-ufc-17-pete-el-duro-williams-vs-mark-the-hammer-coleman,299-lions-den-texas,Lion's Den Texas,
