bout_id,fighter_id,weigh_in_result_lbs,fight_night_weight_lbs,weight_gain_lbs
671124-ufc-fight-night-nina-the-strina-nunes-vs-cynthia-calvillo,11224-nina-ansaroff,125.5,130.2,4.7
671124-ufc-fight-night-nina-the-strina-nunes-vs-cynthia-calvillo,25471-cynthia-calvillo,125.5,136.4,10.9
659500-ufc-fight-night-lukasz-the-bull-brzeski-vs-martin-badys-buday,147242-martin-buday,266.0,290.4,24.4
659500-ufc-fight-night-lukasz-the-bull-brzeski-vs-martin-badys-buday,90654-ukasz-brzeski,236.5,240.0,3.5
677655-ufc-fight-night-angela-overkill-hill-vs-lupita-loopy-godinez,57525-angela-hill-overkill,119.5,126.8,7.3
677655-ufc-fight-night-angela-overkill-hill-vs-lupita-loopy-godinez,133312-lupita-godinez,119.0,130.0,11.0
658011-ufc-fight-night-gerald-gm3-meerschaert-vs-bruno-blindado-silva,6018-gerald-meerschaert-the-machine,185.0,203.4,18.4
658011-ufc-fight-night-gerald-gm3-meerschaert-vs-bruno-blindado-silva,59819-bruno-silva-blindado,186.0,199.0,13.0
678783-ufc-fight-night-queen-of-violence-ariane-lipski-vs-priscila-zombie-girl-cachoeira,128371-priscila-cachoeira,135.0,147.4,12.4
678783-ufc-fight-night-queen-of-violence-ariane-lipski-vs-priscila-zombie-girl-cachoeira,57056-ariane-lipski,135.5,142.4,6.9
658138-ufc-fight-night-devin-brown-bear-clark-vs-azamat-the-professional-murzakanov,93373-azamat-murzakanov,204.0,219.4,15.4
658138-ufc-fight-night-devin-brown-bear-clark-vs-azamat-the-professional-murzakanov,23218-devin-clark,205.0,220.4,15.4
672798-ufc-fight-night-yazmin-jauregui-vs-iasmin-lucindo,207769-yasmine-jauregui,114.5,130.4,15.9
672798-ufc-fight-night-yazmin-jauregui-vs-iasmin-lucindo,166360-iasmin-lucindo,116.0,131.4,15.4
674097-ufc-fight-night-david-silent-assassin-onama-vs-nate-the-train-landwehr,26263-nate-landwehr,145.5,161.4,15.9
674097-ufc-fight-night-david-silent-assassin-onama-vs-nate-the-train-landwehr,104455-david-onama,145.0,160.2,15.2
662952-ufc-fight-night-marlon-chito-vera-vs-dominick-the-dominator-cruz,48144-marlon-vera-chito,135.5,151.8,16.3
662952-ufc-fight-night-marlon-chito-vera-vs-dominick-the-dominator-cruz,dominick-cruz-the-dominator,135.0,154.0,19.0
823920-ufc-298-andrea-kgb-lee-vs-miranda-fear-the-maverick,116637-miranda-maverick,126.0,135.8,9.8
823920-ufc-298-andrea-kgb-lee-vs-miranda-fear-the-maverick,47916-andrea-lee,125.5,136.2,10.7
829430-ufc-298-val-the-animal-woodburn-vs-oban-the-welsh-gangster-elliott,150814-oban-elliot,170.5,185.2,14.7
829430-ufc-298-val-the-animal-woodburn-vs-oban-the-welsh-gangster-elliott,166396-valentine-woodburn,169.5,184.0,14.5
833989-ufc-298-josh-bushido-quinlan-vs-danny-lefthand2god-barlow,222456-danny-barlow,171.0,197.8,26.8
833989-ufc-298-josh-bushido-quinlan-vs-danny-lefthand2god-barlow,114123-josh-quinlan,169.0,187.8,18.8
820024-ufc-298-mountain-tiger-mingyang-zhang-vs-brendson-the-gorilla-ribeiro,102827-mingyang-zhang,204.5,230.2,25.7
820024-ufc-298-mountain-tiger-mingyang-zhang-vs-brendson-the-gorilla-ribeiro,119779-brendson-ribeiro-zyzz,205.5,219.6,14.1
837825-ufc-298-rinya-hybrid-nakamura-vs-carlos-pequeno-vera,296781-tomoya-nakamura,135.5,147.2,11.7
837825-ufc-298-rinya-hybrid-nakamura-vs-carlos-pequeno-vera,43109-carlos-vera,135.5,158.6,23.1
845232-ufc-298-marcos-pezao-rogerio-de-lima-vs-junior-the-juggernaut-tafa,marcos-rogerio-de-lima-pezao,261.5,273.4,11.9
845232-ufc-298-marcos-pezao-rogerio-de-lima-vs-junior-the-juggernaut-tafa,242095-junior-tafa,249.0,247.0,-2.0
836822-ufc-298-amanda-amandinha-lemos-vs-mackenzie-dern,87845-amanda-lemos-amandinha,115.5,123.8,8.3
836822-ufc-298-amanda-amandinha-lemos-vs-mackenzie-dern,134267,116.0,127.0,11.0
837922-ufc-298-anthony-fluffy-hernandez-vs-roman-kopylov,41538-anthony-hernandez,185.5,203.6,18.1
837922-ufc-298-anthony-fluffy-hernandez-vs-roman-kopylov,138424-roman-kopylov,185.0,194.0,9.0
826585-ufc-298-merab-the-machine-dvalishvili-vs-henry-triple-c-cejudo,47934-merab-dvalishvili,135.0,156.8,21.8
826585-ufc-298-merab-the-machine-dvalishvili-vs-henry-triple-c-cejudo,42359-henry-cejudo,135.0,150.6,15.6
830405-ufc-298-geoff-handz-of-steel-neal-vs-the-future-ian-machado-garry,171377-ian-garry,170.5,180.6,10.1
830405-ufc-298-geoff-handz-of-steel-neal-vs-the-future-ian-machado-garry,20058-geoffrey-neal,170.5,200.8,30.3
830403-ufc-298-robert-the-reaper-whittaker-vs-paulo-the-eraser-costa,17398-robert-whittaker,185.5,207.6,22.1
830403-ufc-298-robert-the-reaper-whittaker-vs-paulo-the-eraser-costa,64306-paulo-henrique-costa-borrachinha,185.5,215.2,29.7
815110-ufc-298-alexander-the-great-volkanovski-vs-ilia-el-matador-topuria,129278-ilia-topuria,144.5,167.2,22.7
815110-ufc-298-alexander-the-great-volkanovski-vs-ilia-el-matador-topuria,41705-alex-volkanski,144.5,166.2,21.7
