bout_id,fighter_id,ko_tko_percentage,submission_percentage,decision_percentage,overall_percentage,num_picks
565891-ufc-fight-night-chris-gritz-gruetzemacher-vs-rafa-gifted-garcia,105452-rafael-garcia-gifted,26.9,37.5,35.6,91,3276
569736-ufc-fight-night-bryan-bam-bam-barberena-vs-jason-the-vanilla-gorilla-witt,53481-jason-witt,34.0,13.2,52.8,8,3314
569736-ufc-fight-night-bryan-bam-bam-barberena-vs-jason-the-vanilla-gorilla-witt,16876-bryan-barberena,79.0,2.4,18.6,92,3314
570529-ufc-fight-night-collin-anglin-vs-melsik-the-gun-baghdasaryan,119395-collin-anglin,20.0,4.1,75.9,54,3208
570529-ufc-fight-night-collin-anglin-vs-melsik-the-gun-baghdasaryan,75671-melsik-bagdasaryan,46.0,3.8,50.1,46,3208
588995-ufc-fight-night-niklas-green-mask-stolze-vs-jared-nitetrain-gooden,43007-jared-gooden,41.2,5.8,53.1,20,2884
588995-ufc-fight-night-niklas-green-mask-stolze-vs-jared-nitetrain-gooden,95449-niklas-stolze,10.4,6.7,82.9,80,2884
571359-ufc-fight-night-gloria-glorinha-de-paula-vs-cheyanne-the-warrior-princess-buys,137395-gloria-de-paula-glorinha,6.9,3.3,89.9,22,3275
571359-ufc-fight-night-gloria-glorinha-de-paula-vs-cheyanne-the-warrior-princess-buys,59694-cheyanne-vlismas,4.3,1.9,93.8,78,3275
574544-ufc-fight-night-uriah-prime-time-hall-vs-sean-tarzan-strickland,6055-sean-strickland-tarzan,55.6,1.1,43.3,57,3420
574544-ufc-fight-night-uriah-prime-time-hall-vs-sean-tarzan-strickland,uriah-hall,82.2,0.8,17.1,43,3420
569997-ufc-265-johnny-kid-kvenbo-munoz-jr-vs-jamey-the-afro-samurai-simmons,140010-james-krause-simmons,39.1,13.5,47.5,9,3724
569997-ufc-265-johnny-kid-kvenbo-munoz-jr-vs-jamey-the-afro-samurai-simmons,79600-john-munoz-jr,20.0,33.4,46.6,91,3724
572484-ufc-265-victoria-fury-leonardo-vs-melissa-gatto,102107-victoria-leonardo,12.6,6.7,80.7,24,3684
572484-ufc-265-victoria-fury-leonardo-vs-melissa-gatto,164565-melissa-gatto,2.9,63.3,33.8,76,3684
587090-ufc-265-miles-chapo-johns-vs-anderson-berinja-dos-santos,50759-anderson-berlingeri-berinja,23.9,35.7,40.3,9,3706
587090-ufc-265-miles-chapo-johns-vs-anderson-berinja-dos-santos,46875-miles-johns,25.4,2.1,72.5,91,3706
581263-ufc-265-manel-starboy-kape-vs-ode-the-jamaican-sensation-osbourne,70075-manel-kape-prodigio,49.7,2.6,47.7,69,3747
581263-ufc-265-manel-starboy-kape-vs-ode-the-jamaican-sensation-osbourne,50154-ode-osbourne,37.0,17.3,45.7,31,3747
578792-ufc-265-karolina-kowalkiewicz-vs-jessica-penne,jessica-pene,4.0,6.9,89.0,28,3762
578792-ufc-265-karolina-kowalkiewicz-vs-jessica-penne,35968-karolina-kowalkiewicz,3.4,1.1,95.5,72,3762
577838-ufc-265-ed-short-fuse-herman-vs-alonzo-atomic-menifield,69032-alonzo-menifield,93.1,1.3,5.7,87,3814
577838-ufc-265-ed-short-fuse-herman-vs-alonzo-atomic-menifield,ed-herman-short-fuse,27.0,28.1,45.0,13,3814
569730-ufc-265-drako-the-great-drakolini-rodriguez-vs-vince-vandetta-morales,91401-vince-morales,32.7,4.2,63.2,27,3702
569730-ufc-265-drako-the-great-drakolini-rodriguez-vs-vince-vandetta-morales,108711-drako-rodriguez,9.7,16.0,74.3,73,3702
584122-ufc-265-rafael-ataman-fiziev-vs-bobby-king-green,108035-rafael-fiziev,57.6,1.7,40.7,90,3882
584122-ufc-265-rafael-ataman-fiziev-vs-bobby-king-green,bobby-green-king,32.0,4.8,63.2,10,3882
575466-ufc-265-yadong-kung-fu-monkey-song-vs-casey-kenney,47836-yadong-song,25.8,2.2,72.0,34,3868
575466-ufc-265-yadong-kung-fu-monkey-song-vs-casey-kenney,63593-casey-kenny,4.8,3.3,91.9,66,3868
576783-ufc-265-the-tiny-tornado-tecia-torres-vs-angela-overkill-hill-ii,57525-angela-hill-overkill,7.8,1.1,91.1,40,3846
576783-ufc-265-the-tiny-tornado-tecia-torres-vs-angela-overkill-hill-ii,32610-tecia-torres-the-tiny-tornado,3.0,1.6,95.4,60,3846
576963-ufc-265-vicente-the-silent-assassin-luque-vs-michael-maverick-chiesa,16651-vicente-luque,68.9,11.2,19.9,60,3943
576963-ufc-265-vicente-the-silent-assassin-luque-vs-michael-maverick-chiesa,15253-mike-chiesa-maverick,4.4,28.2,67.4,40,3943
571915-ufc-265-jose-aldo-junior-vs-pedro-the-young-punisher-munhoz,jose-aldo-junior,12.7,1.3,86.0,70,3957
571915-ufc-265-jose-aldo-junior-vs-pedro-the-young-punisher-munhoz,5243-pedro-munoz-pedrinho,26.3,2.3,71.4,30,3957
580614-ufc-265-derrick-the-black-beast-lewis-vs-ciryl-bon-gamin-gane,14023-derrick-lewis-the-black-beast,96.5,0.7,2.9,36,4002
580614-ufc-265-derrick-the-black-beast-lewis-vs-ciryl-bon-gamin-gane,187819-cyril-gane-real-c,36.0,10.2,53.8,64,4002
572486-ufc-fight-night-ramiz-brahimaj-vs-sasha-palatnikov,129794-ramiz-brahimaj,7.9,61.3,30.8,39,3256
572486-ufc-fight-night-ramiz-brahimaj-vs-sasha-palatnikov,103191-sasha-palatnikov,56.0,2.7,41.3,61,3256
576499-ufc-fight-night-roosevelt-the-predator-roberts-vs-ignacio-la-jaula-bahamondes,66843-roosevelt-roberts,6.3,24.9,68.8,75,3279
576499-ufc-fight-night-roosevelt-the-predator-roberts-vs-ignacio-la-jaula-bahamondes,105800-ignacio-carabantes,25.7,6.4,67.9,25,3279
569697-ufc-fight-night-william-knightmare-knight-vs-fabio-water-buffalo-cherant,134237-fabio-cherant,36.8,21.2,42.0,14,3316
569697-ufc-fight-night-william-knightmare-knight-vs-fabio-water-buffalo-cherant,120996-william-knight,80.4,1.2,18.4,86,3316
573863-ufc-fight-night-bea-bad-news-barbie-malecki-vs-josiane-josi-nunes,61258-josiane-nunes,46.7,7.9,45.4,23,3252
573863-ufc-fight-night-bea-bad-news-barbie-malecki-vs-josiane-josi-nunes,156566-bea-malecki,7.0,7.0,86.0,77,3252
571278-ufc-fight-night-brian-boom-kelleher-vs-domingo-son-of-fire-pilarte,37541-domingo-pilarte-el-nino,19.3,23.5,57.3,13,3329
571278-ufc-fight-night-brian-boom-kelleher-vs-domingo-son-of-fire-pilarte,13751-Brian-Kelleher,46.0,26.6,27.4,87,3329
570207-ufc-fight-night-luis-saldana-vs-austin-lights-out-lingo,20577-luis-saldana,16.2,4.0,79.8,78,3266
570207-ufc-fight-night-luis-saldana-vs-austin-lights-out-lingo,129509-austin-lingo,38.1,4.5,57.5,22,3266
