id,event_id,bout_order,red_fighter_id,blue_fighter_id,red_outcome,blue_outcome,weight_class,type_verbose,performance_bonus,outcome_method,outcome_method_details,end_round,end_round_time_seconds,round_time_format,total_time_seconds
0d63a7d3e08df3db,d3b5ad3b15a64a18,10,f5431394fb284bb9,46baf0f57edfa4df,W,L,Light Heavyweight,Light Heavyweight Bout,0,Decision - Unanimous,Steve Morrow 26 - 30. Ray Balewicz 27 - 30. Susan Thomas-Gitlin 27 - 30.,3,300,3 Rnd (5-5-5),900
8d2f3e0abb22689f,d3b5ad3b15a64a18,11,179f1948dc234f1f,3a8176e15b9887c1,L,W,Middleweight,Middleweight Bout,1,KO/TKO,Elbow to Head At Distance,2,97,5 Rnd (5-5-5-5-5),397
bea3ffb3c52dae63,237187ed9f419285,1,e5d03e4d966126bd,518e5202a91980d4,W,L,Welterweight,Welterweight Bout,0,Submission,Guillotine Choke After Drop to Guard,1,26,3 Rnd (5-5-5),26
c89ee3c5aaf7dac6,237187ed9f419285,2,2aa49b3766a59bcd,2cf520143e76cd2e,W,L,Welterweight,Welterweight Bout,0,Decision - Unanimous,Andy Dinger 27 - 30. Laura Gregory 27 - 30. Junichiro Kamijo 27 - 30.,3,300,3 Rnd (5-5-5),900
9b955968a5db4296,237187ed9f419285,3,47b9e0e7703a4868,4a482a0100cfcd0a,W,L,Lightweight,Lightweight Bout,0,Decision - Split,Ken Barringer 29 - 28. Glenn Trowbridge 28 - 29. Laura Gregory 27 - 30.,3,300,3 Rnd (5-5-5),900
05743f2c8a83133d,237187ed9f419285,4,46fd223e3ced39b3,454c3e9d4cd4a1b3,W,L,Lightweight,Lightweight Bout,0,Decision - Split,Ken Barringer 29 - 28. Andy Dinger 28 - 29. Nelson Hamilton 28 - 29.,3,300,3 Rnd (5-5-5),900
29fcd261bdb5bd5f,237187ed9f419285,5,50d2f0018bcf9eef,35faad160d346839,W,L,Lightweight,Lightweight Bout,0,Decision - Unanimous,Andy Dinger 27 - 30. Ken Barringer 28 - 29. Junichiro Kamijo 28 - 29.,3,300,3 Rnd (5-5-5),900
b50e74c14b1594d5,237187ed9f419285,6,f2925e6db404bf1d,9450848a71d53776,L,W,Middleweight,Middleweight Bout,0,Decision - Unanimous,Ken Barringer 27 - 30. Andy Dinger 27 - 30. Nelson Hamilton 27 - 30.,3,300,3 Rnd (5-5-5),900
e2dca1df3a99c19a,237187ed9f419285,7,b9d0fd83bb8a147a,a6bbd3df469c6bea,L,W,Middleweight,Middleweight Bout,0,Decision - Unanimous,Ken Barringer 27 - 29. Andy Dinger 27 - 30. Nelson Hamilton 26 - 30.,3,300,3 Rnd (5-5-5),900
99135ea239d85895,237187ed9f419285,8,effd9de9937996f8,a8e6a69796280f17,L,W,Welterweight,Strikeforce Welterweight Title Bout,0,KO/TKO,Elbows to Head In Clinch,4,99,5 Rnd (5-5-5-5-5),999
fb7ddb21affc10c1,237187ed9f419285,9,00e11b5c8b7bfeeb,3c660c90d48fc80d,W,L,Middleweight,Middleweight Bout,0,Decision - Unanimous,Nelson Hamilton 46 - 49. Junichiro Kamijo 46 - 49. Glenn Trowbridge 46 - 49.,5,300,5 Rnd (5-5-5-5-5),1500
b616ec23516b7244,abbc4fc02e0d84b3,1,c76ec2bc3a57666a,706f8e2b34e8e18b,L,W,Lightweight,Lightweight Bout,0,Decision - Split,Richard Bertrand 28 - 29. Sal D'amato 29 - 28. Jeff Blatnick 28 - 29.,3,300,3 Rnd (5-5-5),900
64fa0e558f5d1b24,abbc4fc02e0d84b3,2,fef3d17e27e916e7,361d49960a196976,W,L,Featherweight,Featherweight Bout,0,KO/TKO,Punch to Head In Clinch,1,71,3 Rnd (5-5-5),71
fa6775e369b9eec9,abbc4fc02e0d84b3,3,5ef0088c1b19beeb,b8592b4a383696cd,W,L,Bantamweight,Bantamweight Bout,0,Submission,Rear Naked Choke,3,99,3 Rnd (5-5-5),699
