id,name,promotion,date,venue,location,event_order
1312,CW 142: Cage Warriors 142,CW,2022-08-13,Ebbw Vale Sports Centre,"Ebbw Vale, Wales",1254
1311,PFL 8: 2022 Season,PFL,2022-08-13,Cardiff Motorpoint Arena,"Cardiff, Wales",1255
1315,KSW 73: Wrzosek vs. Sarara,KSW,2022-08-20,Arena COS Torwar,"Warsaw, Poland",1256
1316,UFC 278: Usman vs. Edwards 2,UFC,2022-08-20,Vivint Arena,"Salt Lake City, Utah, USA",1257
1314,PFL 9: 2022 Season,PFL,2022-08-20,Copper Box Arena,"London, England",1258
1318,UFC on ESPN+ 67: Gane vs. Tuivasa,UFC,2022-09-03,Accor Arena,"Paris, France",1259
1319,UFC 279: Diaz vs. Ferguson,UFC,2022-09-10,T-Mobile Arena,"Las Vegas, Nevada, USA",1260
1323,KSW 74: De Fries vs. Prasel,KSW,2022-09-10,Arena Ostrow,"Ostrow Wielkopolski, Poland",1261
1320,UFC on ESPN+ 68: Sandhagen vs. Song,UFC,2022-09-17,UFC Apex,"Las Vegas, Nevada, USA",1262
1321,Bellator 285: Henderson vs. Queally,BELLATOR,2022-09-23,3Arena,"Dublin, Ireland",1263
1322,CW 143: Cage Warriors 143,CW,2022-09-23,Humphreys by the Bay,"San Diego, California, USA",1264
1325,Bellator 286: Pitbull vs. Borics,BELLATOR,2022-10-01,Long Beach Arena,"Long Beach, California, USA",1265
1324,UFC on ESPN+ 69: Dern vs. Yan,UFC,2022-10-01,UFC Apex,"Las Vegas, Nevada, USA",1266
1326,CW 144: Cage Warriors 144,CW,2022-10-07,Fiera di Roma,"Rome, Italy",1267
1327,KSW 75: Stasiak vs. Ruchala,KSW,2022-10-14,Park Strzelecki Amfiteatr,"Nowy Sacz, Poland",1268
1328,UFC on ESPN+ 70: Grasso vs. Araujo,UFC,2022-10-15,UFC Apex,"Las Vegas, Nevada, USA",1269
1329,UFC 280: Oliveira vs. Makhachev,UFC,2022-10-22,Etihad Arena,"Abu Dhabi, United Arab Emirates",1270
1331,Bellator 287: Piccolotti vs. Barnaoui,BELLATOR,2022-10-29,Allianz Cloud Arena,"Milan, Italy",1271
1330,UFC on ESPN+ 71: Kattar vs. Allen,UFC,2022-10-29,UFC Apex,"Las Vegas, Nevada, USA",1272
1332,CW 145: Cage Warriors 145,CW,2022-11-04,Indigo at The O2,"London, England",1273
1333,UFC on ESPN+ 72: Rodriguez vs. Lemos,UFC,2022-11-05,UFC Apex,"Las Vegas, Nevada, USA",1274
1335,KSW 76: Parnasse vs. Rajewski,KSW,2022-11-12,Grodziska Hala Sportowa,"Grodzisk Mazowiecki, Poland",1275
1334,CW 146: Cage Warriors 146,CW,2022-11-12,BEC Arena,"Manchester, England",1276
1336,UFC 281: Adesanya vs. Pereira,UFC,2022-11-12,Madison Square Garden,"New York City, New York, USA",1277
1337,Bellator 288: Nemkov vs. Anderson 2,BELLATOR,2022-11-18,Wintrust Arena,"Chicago, Illinois, USA",1278
1338,UFC on ESPN+ 73: Lewis vs. Spivak,UFC,2022-11-19,UFC Apex,"Las Vegas, Nevada, USA",1279
1339,CW 147: Unplugged,CW,2022-11-20,BT Sport Studios,"London, England",1280
1340,PFL 10: 2022 Season,PFL,2022-11-25,Hulu Theater,"New York City, New York, USA",1281
1341,UFC on ESPN 42: Thompson vs. Holland,UFC,2022-12-03,Amway Center,"Orlando, Florida, USA",1282
1342,Bellator 289: Stots vs. Sabatello,BELLATOR,2022-12-09,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1283
1343,UFC 282: Blachowicz vs. Ankalaev,UFC,2022-12-10,T-Mobile Arena,"Las Vegas, Nevada, USA",1284
1344,KSW 77: Khalidov vs. Pudzianowski,KSW,2022-12-17,Gliwice Arena,"Gliwice, Poland",1285
1345,UFC on ESPN+ 74: Cannonier vs. Strickland,UFC,2022-12-17,UFC Apex,"Las Vegas, Nevada, USA",1286
1347,CW 148: Cage Warriors 148,CW,2022-12-31,Indigo at the O2,"London, England",1287
1346,Bellator: Bellator MMA vs. Rizin,BELLATOR,2022-12-31,Saitama Super Arena,"Saitama, Japan",1288
1348,UFC on ESPN+ 75: Strickland vs. Imavov,UFC,2023-01-14,UFC Apex,"Las Vegas, Nevada, USA",1289
1350,UFC 283: Teixeira vs. Hill,UFC,2023-01-21,Jeunesse Arena,"Rio de Janeiro, Brazil",1290
1349,KSW 78: Materla vs. Grove 2,KSW,2023-01-21,Netto Arena,"Szczecin, Poland",1291
1352,UFC on ESPN+ 76: Lewis vs. Spivak,UFC,2023-02-04,UFC Apex,"Las Vegas, Nevada, USA",1292
1351,Bellator 290: Bader vs. Fedor 2,BELLATOR,2023-02-04,Kia Forum,"Inglewood, California, USA",1293
1353,UFC 284: Makhachev vs. Volkanovski,UFC,2023-02-12,Perth Arena,"Perth, Australia",1294
1354,UFC on ESPN+ 77: Andrade vs. Blanchfield,UFC,2023-02-18,UFC Apex,"Las Vegas, Nevada, USA",1295
1356,UFC on ESPN+ 78: Muniz vs. Allen,UFC,2023-02-25,UFC Apex,"Las Vegas, Nevada, USA",1296
1355,Bellator 291: Amosov vs. Storley 2,BELLATOR,2023-02-25,3Arena,"Dublin, Ireland",1297
1358,CW 149: Cage Warriors 149,CW,2023-03-03,Sycuan Casino Resort,"San Diego, California, USA",1298
1357,UFC 285: Jones vs. Gane,UFC,2023-03-04,T-Mobile Arena,"Las Vegas, Nevada, USA",1299
1359,Bellator 292: Nurmagomedov vs. Henderson,BELLATOR,2023-03-10,SAP Center,"San Jose, California, USA",1300
1360,UFC on ESPN+ 79: Yan vs. Dvalishvili,UFC,2023-03-11,The Theater at Virgin Hotels,"Las Vegas, Nevada, USA",1301
1361,CW 150: Cage Warriors 150,CW,2023-03-17,Indigo at the O2,"London, England",1302
1362,UFC 286: Edwards vs. Usman 3,UFC,2023-03-18,The O2 Arena,"London, England",1303
1363,CW 151: Cage Warriors 151,CW,2023-03-24,BT Sports Studio,"London, England",1304
1364,UFC on ESPN 43: Vera vs. Sandhagen,UFC,2023-03-25,AT&T Center,"San Antonio, Texas, USA",1305
1365,Bellator 293: Golm vs. James,BELLATOR,2023-03-31,Pechanga Resort and Casino,"Temecula, California, USA",1306
1366,PFL 1: 2023 Season,PFL,2023-04-01,The Theater at Virgin Hotels,"Las Vegas, Nevada, USA",1307
1367,PFL 2: 2023 Season,PFL,2023-04-07,The Theater at Virgin Hotels,"Las Vegas, Nevada, USA",1308
1368,UFC 287: Pereira vs. Adesanya 2,UFC,2023-04-08,Kaseya Center,"Miami, Florida, USA",1309
1369,PFL 3: 2023 Season,PFL,2023-04-14,The Theater at Virgin Hotels,"Las Vegas, Nevada, USA",1310
1370,UFC on ESPN 44: Holloway vs. Allen,UFC,2023-04-15,T-Mobile Center,"Kansas City, Missouri, USA",1311
1371,CW 152: Cage Warriors 152,CW,2023-04-15,Bowlers Exhibition Centre,"Manchester, England",1312
1372,Bellator 294: Carmouche vs. Bennett 2,BELLATOR,2023-04-21,Neal S. Blaisdell Arena,"Honolulu, Hawaii, USA",1313
1374,Bellator 295: Stots vs. Mix,BELLATOR,2023-04-22,Neal S. Blaisdell Center,"Honolulu, Hawaii, USA",1314
1373,UFC on ESPN+ 80: Pavlovich vs. Blaydes,UFC,2023-04-22,UFC Apex,"Las Vegas, Nevada, USA",1315
1375,KSW 81: Bartosinski vs. Szczepaniak,KSW,2023-04-22,Arena Lodowa,"Tomaszow Mazowiecki, Poland",1316
1376,UFC on ESPN+ 81: Song vs. Simon,UFC,2023-04-29,UFC Apex,"Las Vegas, Nevada, USA",1317
1377,CW 153: Cage Warriors 153,CW,2023-04-29,The 3Arena,"Dublin, Ireland",1318
1379,UFC 288: Sterling vs. Cejudo,UFC,2023-05-06,Prudential Center,"Newark, New Jersey, USA",1319
1378,CW 154: Cage Warriors 154,CW,2023-05-06,Fiera di Roma,"Rome, Italy",1320
1380,Bellator 296: Mousasi vs. Edwards,BELLATOR,2023-05-12,Accor Arena,"Paris, France",1321
1381,UFC on ABC 4: Rozenstruik vs. Almeida,UFC,2023-05-13,Spectrum Center,"Charlotte, North Carolina, USA",1322
1382,UFC on ESPN+ 81: Dern vs. Hill,UFC,2023-05-20,UFC Apex,"Las Vegas, Nevada, USA",1323
1384,UFC on ESPN 46: Kara-France vs. Albazi,UFC,2023-06-03,UFC Apex,"Las Vegas, Nevada, USA",1324
1383,KSW 83: Colosseum 2,KSW,2023-06-03,Stadion Narodowy,"Warsaw, Poland",1325
1385,PFL 4: 2023 Season,PFL,2023-06-08,Overtime Elite Arena,"Atlanta, Georgia, USA",1326
1386,UFC 289: Nunes vs. Aldana,UFC,2023-06-10,Rogers Arena,"Vancouver, British Columbia, Canada",1327
1387,Bellator 297: Nemkov vs. Romero,BELLATOR,2023-06-16,Wintrust Arena,"Chicago, Illinois, USA",1328
1388,PFL 5: 2023 Season,PFL,2023-06-16,Overtime Elite Arena,"Atlanta, Georgia, USA",1329
1389,UFC on ESPN 47: Vettori vs. Cannonier,UFC,2023-06-17,UFC Apex,"Las Vegas, Nevada, USA",1330
1390,PFL 6: 2023,PFL,2023-06-23,Overtime Elite Arena,"Atlanta, Georgia, USA",1331
1391,UFC on ABC 5: Emmett vs. Topuria,UFC,2023-06-24,VyStar Veterans Memorial Arena,"Jacksonville, Florida, USA",1332
1392,UFC on ESPN 48: Strickland vs. Magomedov,UFC,2023-07-01,UFC Apex,"Las Vegas, Nevada, USA",1333
1393,CW 156: Cage Warriors 156,CW,2023-07-01,Vale Sports Arena,"Cardiff, Wales",1334
1394,UFC 290: Volkanovski vs. Rodriguez,UFC,2023-07-08,T-Mobile Arena,"Las Vegas, Nevada, USA",1335
1395,UFC on ESPN 49: Holm vs. Bueno Silva,UFC,2023-07-15,UFC Apex,"Las Vegas, Nevada, USA",1336
1396,CW 157: Cage Warriors 157,CW,2023-07-21,Indigo at the O2,"London, England",1337
1397,UFC on ESPN+ 82: Aspinall vs. Tybura,UFC,2023-07-22,The O2 Arena,"London, England",1338
1399,UFC 291: Poirier vs. Gaethje 2,UFC,2023-07-29,Delta Center,"Salt Lake City, Utah, USA",1339
1398,CW 158: Cage Warriors 158,CW,2023-07-29,Fiera Roma,"Rome, Italy",1340
1400,Bellator: Bellator MMA x Rizin 2,BELLATOR,2023-07-30,Saitama Super Arena,"Saitama, Japan",1341
1401,UFC on ESPN 50: Sandhagen vs. Font,UFC,2023-08-05,Bridgestone Arena,"Nashville, Tennessee, USA",1342
1402,Bellator 298: Storley vs. Ward,BELLATOR,2023-08-11,Sanford Pentagon,"Sioux Falls, South Dakota, USA",1343
1403,UFC on ESPN 51: Luque vs. dos Anjos,UFC,2023-08-12,UFC Apex,"Las Vegas, Nevada, USA",1344
1404,PFL 8: 2023 Season,PFL,2023-08-18,The Theater at Madison Square Garden,"New York City, New York, USA",1345
1406,UFC 292: Sterling vs. O'Malley,UFC,2023-08-19,TD Garden,"Boston, Massachusetts, USA",1346
1405,KSW 85: Parnasse vs. Ruchala,KSW,2023-08-19,Strzelecki Park,"Nowy Sacz, Poland",1347
1407,PFL 9: 2023 Season,PFL,2023-08-24,The Theater at Madison Square Garden,"New York City, New York, USA",1348
1408,UFC on ESPN+ 83: Holloway vs. The Korean Zombie,UFC,2023-08-26,Singapore Indoor Stadium,"Kallang, Singapore",1349
1409,UFC on ESPN+ 84: Gane vs. Spivak,UFC,2023-09-02,Accor Arena,"Paris, France",1350
1410,CW 159: Cage Warriors 159,CW,2023-09-08,Sycuan Casino Resort,"San Diego, California, USA",1351
1411,UFC 293: Adesanya vs. Strickland,UFC,2023-09-10,Sydney SuperDome,"Sydney, Australia",1352
1413,KSW 86: Wiklacz vs. Przybysz 4,KSW,2023-09-16,Hala Orbita,"Wroclaw, Poland",1353
1412,Noche UFC: Grasso vs. Shevchenko 2,UFC,2023-09-16,T-Mobile Arena,"Las Vegas, Nevada, USA",1354
1415,UFC on ESPN+ 86: Fiziev vs. Gamrot,UFC,2023-09-23,UFC Apex,"Las Vegas, Nevada, USA",1355
1414,Bellator 299: Eblen vs. Edwards,BELLATOR,2023-09-23,3Arena,"Dublin, Ireland",1356
1416,CW 160: Cage Warriors 160,CW,2023-09-29,BEC Arena,"Manchester, England",1357
1418,Bellator 300: Nurmagomedov vs. Primus,BELLATOR,2023-10-07,Pechanga Arena,"San Diego, California, USA",1358
1417,UFC on ESPN+ 87: Dawson vs. Green,UFC,2023-10-07,UFC Apex,"Las Vegas, Nevada, USA",1359
1420,UFC on ESPN+ 88: Yusuff vs. Barboza,UFC,2023-10-14,UFC Apex,"Las Vegas, Nevada, USA",1360
1419,CW 161: Cage Warriors 161,CW,2023-10-14,RDS Arena,"Dublin, Ireland",1361
1421,UFC 294: Makhachev vs. Volkanovski 2,UFC,2023-10-21,Etihad Arena,"Abu Dhabi, United Arab Emirates",1362
1422,CW 162: Cage Warriors 162,CW,2023-10-28,Fiera di Roma,"Rome, Italy",1363
1424,UFC on ESPN+ 89: Almeida vs. Lewis,UFC,2023-11-04,Ginasio do Ibirapuera,"Sao Paulo, Brazil",1364
1426,UFC 295: Prochazka vs. Pereira,UFC,2023-11-11,Madison Square Garden,"New York, New York, USA",1365
1425,CW 163: Cage Warriors 163,CW,2023-11-11,Indigo at the O2,"London, England",1366
1427,Bellator 301: Amosov vs. Jackson,BELLATOR,2023-11-17,Wintrust Arena,"Chicago, Illinois, USA",1367
1428,UFC on ESPN+ 90: Allen vs. Craig,UFC,2023-11-18,UFC Apex,"Las Vegas, Nevada, USA",1368
1429,PFL 10: 2023 Season,PFL,2023-11-24,The Anthem,"Washington, District of Columbia, USA",1369
1430,CW 164: Cage Warriors 164,CW,2023-11-25,Vertu Motors Arena,"Newcastle, England",1370
1431,UFC on ESPN 52: Dariush vs. Tsarukyan,UFC,2023-12-02,Moody Center,"Austin, Texas, USA",1371
1432,UFC on ESPN+ 91: Song vs. Gutierrez,UFC,2023-12-09,UFC Apex,"Las Vegas, Nevada, USA",1372
1434,CW 165: Cage Warriors 165,CW,2023-12-15,Sycuan Casino Resort,"San Diego, California, USA",1373
1433,UFC 296: Edwards vs. Covington,UFC,2023-12-16,T-Mobile Arena,"Las Vegas, Nevada, USA",1374
1435,UFC on ESPN+ 92: Ankalaev vs. Walker 2,UFC,2024-01-13,UFC Apex,"Las Vegas, Nevada, USA",1375
1437,KSW 90: Wrzosek-vs-Vitasovic,KSW,2024-01-20,Arena COS Torwar,"Warsaw, Poland",1376
1436,UFC 297: Strickland vs. du Plessis,UFC,2024-01-20,Scotiabank Arena,"Toronto, Ontario, Canada",1377
1481,CW 174: CW 174 X PrizeFighter,CW,2024-01-20,Indigo at the O2,"London, England",1378
1438,UFC on ESPN+ 93: Dolidze vs. Imavov,UFC,2024-02-03,UFC Apex,"Las Vegas, Nevada, USA",1379
1439,UFC on ESPN+ 94: Hermansson vs. Pyfer,UFC,2024-02-10,UFC Apex,"Las Vegas, Nevada, USA",1380
1440,UFC 298: Volkanovski vs. Topuria,UFC,2024-02-17,Honda Center,"Anaheim, California, USA",1381
1441,KSW 91: Mircea vs. Brichta,KSW,2024-02-17,Home Credit Arena,"Liberec, Czech Republic",1382
1445,CW 166: Cage Warriors 166,CW,2024-02-23,Sycuan Casino Resort,"San Diego, California, USA",1383
1443,UFC on ESPN+ 95: Moreno vs. Royval 2,UFC,2024-02-24,Arena CDMX,"Mexico City, Mexico",1384
1442,PFL vs. Bellator: Champs,PFL,2024-02-24,Kingdom Arena,"Riyadh, Saudi Arabia",1385
1444,UFC on ESPN+ 96: Rozenstruik vs. Gaziev,UFC,2024-03-02,UFC Apex,"Las Vegas, Nevada, USA",1386
1446,UFC 299: O'Malley vs. Vera 2,UFC,2024-03-09,Kaseya Center,"Miami, Florida, USA",1387
1447,CW 167: Unplugged,CW,2024-03-15,BEC Arena,"Manchester, England",1388
1449,KSW 92: Wiklacz vs. Jojua,KSW,2024-03-16,Arena Gorzow,"Gorzow Wielkopolski, Poland",1389
1450,UFC on ESPN+ 97: Tuivasa vs. Tybura,UFC,2024-03-16,UFC Apex,"Las Vegas, Nevada, USA",1390
1448,CW 168: Manchester,CW,2024-03-16,BEC Arena,"Manchester, England",1391
1451,Bellator 302: Anderson vs. Moore,BELLATOR,2024-03-22,SSE Arena,"Belfast, Northern Ireland",1392
1452,UFC on ESPN 53: Ribas vs. Namajunas,UFC,2024-03-23,UFC Apex,"Las Vegas, Nevada, USA",1393
1453,CW 169: Cage Warriors 169,CW,2024-03-30,Indigo at the O2,"London, England",1394
1454,UFC on ESPN 54: Blanchfield vs. Fiorot,UFC,2024-03-30,Boardwalk Hall,"Atlantic City, New Jersey, USA",1395
1455,PFL 1: 2024 Season,PFL,2024-04-04,Boeing Center at Tech Port,"San Antonio, Texas, USA",1396
1458,KSW 93: Paris,KSW,2024-04-06,Porte de La Chapelle Arena,"Paris, France",1397
1456,CW 170: Dublin,CW,2024-04-06,RDS Arena,"Dublin, Ireland",1398
1457,UFC on ESPN+ 98: Allen vs. Curtis 2,UFC,2024-04-06,UFC Apex,"Las Vegas, Nevada, USA",1399
1459,PFL 2: 2024 Season,PFL,2024-04-12,The Theater at Virgin Hotels,"Las Vegas, Nevada, USA",1400
1460,UFC 300: Pereira vs. Hill,UFC,2024-04-13,T-Mobile Arena,"Las Vegas, Nevada, USA",1401
1461,PFL 3: 2024 Season,PFL,2024-04-19,Wintrust Arena,"Chicago, Illinois, USA",1402
1462,CW 171: Glasgow,CW,2024-04-20,Braehead Arena,"Glasgow, Scotland",1403
1463,UFC Vegas 91: Nicolau vs. Perez,UFC,2024-04-27,UFC Apex,"Las Vegas, Nevada, USA",1404
1464,UFC 301: Pantoja vs. Erceg,UFC,2024-05-04,Farmasi Arena,"Rio de Janeiro, Rio de Janeiro, Brazil",1405
1465,UFC on ESPN 56: Lewis vs. Nascimento,UFC,2024-05-11,Enterprise Center,"St. Louis, Missouri, USA",1406
1466,Bellator Champions Series 2: Mix vs. Magomedov 2,BELLATOR,2024-05-17,Accor Arena,"Paris, France",1407
1467,UFC on ESPN+ 99: Barboza vs. Murphy,UFC,2024-05-18,UFC Apex,"Las Vegas, Nevada, USA",1408
1469,CW 172: Newcastle,CW,2024-05-25,Vertu Motors Arena,"Newcastle, England",1409
1470,UFC 302: Makhachev vs. Poirier,UFC,2024-06-01,Prudential Center,"Newark, New Jersey, USA",1410
1471,UFC on ESPN 57: Cannonier vs. Imavov,UFC,2024-06-08,KFC Yum! Center,"Louisville, Kentucky, USA",1411
1473,PFL 4: 2024 Season,PFL,2024-06-13,Mohegan Sun Arena,"Uncasville, Connecticut, USA",1412
1472,UFC on ESPN 58: Perez vs. Taira,UFC,2024-06-15,UFC Apex,"Las Vegas, Nevada, USA",1413
1474,PFL 5: 2024 Season,PFL,2024-06-21,Jon M. Huntsman Center,"Salt Lake City, Utah, USA",1414
1475,UFC on ABC 6: Whittaker vs. Aliskerov,UFC,2024-06-22,Kingdom Arena,"Riyadh, Saudi Arabia",1415
1476,Bellator Champions Series 3: Jackson vs. Kuramagomedov,BELLATOR,2024-06-22,3Arena,"Dublin, Ireland",1416
1477,PFL 6: 2024 Season,PFL,2024-06-28,Sanford Pentagon,"Sioux Falls, South Dakota, USA",1417
1478,UFC 303: Pereira vs. Prochazka 2,UFC,2024-06-29,T-Mobile Arena,"Las Vegas, Nevada, USA",1418
1479,UFC on ESPN 59: Namajunas vs. Cortez,UFC,2024-07-13,Ball Arena,"Denver, Colorado, USA",1419
1482,CW 174: PrizeFighter,CW,2024-07-20,Indigo at the O2,"London, England",1420
1480,UFC on ESPN 60: Lemos vs. Jandiroba,UFC,2024-07-20,UFC Apex,"Las Vegas, Nevada, USA",1421
1483,CW 175: Manchester,CW,2024-07-25,BEC Arena,"Manchester, England",1422
1484,UFC 304: Edwards vs. Muhammad 2,UFC,2024-07-27,Co-op Live,"Manchester, England",1423
1486,PFL 7: 2024 Season,PFL,2024-08-02,Nashville Municipal Auditorium,"Nashville, Tennessee, USA",1424
1485,UFC on ABC 7: Sandhagen vs. Nurmagomedov,UFC,2024-08-03,Etihad Arena,"Abu Dhabi, United Arab Emirates",1425
1487,UFC on ESPN 61: Tybura vs. Spivac 2,UFC,2024-08-10,UFC Apex,"Las Vegas, Nevada, USA",1426
1488,PFL 8: 2024 Season,PFL,2024-08-16,Seminole Hard Rock Hotel & Casino Hollywood,"Hollywood, Florida, USA",1427
1489,UFC 305: du Plessis vs. Adesanya,UFC,2024-08-17,RAC Arena,"Perth, Australia",1428
1490,PFL 9: 2024 Season,PFL,2024-08-23,The Anthem,"Washington, District of Columbia, USA",1429
1491,UFC on ESPN 62: Cannonier vs. Borralho,UFC,2024-08-24,UFC Apex,"Las Vegas, Nevada, USA",1430
1494,Bellator Champions Series 4: Nurmagomedov vs. Shabliy,BELLATOR,2024-09-07,Pechanga Arena,"San Diego, California, USA",1431
1492,CW 176: Glasgow,CW,2024-09-07,Braehead Arena,"Glasgow, Scotland",1432
1493,UFC on ESPN+ 100: Burns vs. Brady,UFC,2024-09-07,UFC Apex,"Las Vegas, Nevada, USA",1433
1495,UFC 306: O'Malley vs. Dvalishvili,UFC,2024-09-14,Sphere,"Las Vegas, Nevada, USA",1434
1496,Bellator Champions Series 5: McCourt vs. Collins,BELLATOR,2024-09-14,OVO Arena Wembley,"London, England",1435
1497,CW 177: Unplugged,CW,2024-09-20,BEC Arena,"Manchester, England",1436
1498,CW 178: Manchester,CW,2024-09-21,BEC Arena,"Manchester, England",1437
1499,UFC on ESPN+ 101: Moicano vs. Saint Denis,UFC,2024-09-28,Accor Arena,"Paris, France",1438
1500,UFC 307: Pereira vs. Rountree Jr.,UFC,2024-10-05,Delta Center,"Salt Lake City, Utah, USA",1439
1501,UFC on ESPN+ 102: Royval vs. Taira,UFC,2024-10-12,UFC Apex,"Las Vegas, Nevada, USA",1440
1502,KSW 99: Vojcak vs. Martinek,KSW,2024-10-19,Gliwice Arena,"Gliwice, Poland",1441
1504,UFC on ESPN+ 103: Hernandez vs. Pereira,UFC,2024-10-19,UFC Apex,"Las Vegas, Nevada, USA",1442
1503,PFL Super Fights: Battle of the Giants,PFL,2024-10-19,The Mayadeen,"Riyadh, Saudi Arabia",1443
1505,UFC 308: Topuria vs. Holloway,UFC,2024-10-26,Etihad Arena,"Abu Dhabi, United Arab Emirates",1444
1507,UFC on ESPN+ 104: Moreno vs. Albazi,UFC,2024-11-02,Rogers Place,"Edmonton, Alberta, Canada",1445
1506,CW 179: Cage Warriors 179,CW,2024-11-02,FIJLKAM,"Rome, Italy",1446
1508,UFC on ESPN+ 105: Magny vs. Prates,UFC,2024-11-09,UFC Apex,"Las Vegas, Nevada, USA",1447
1509,CW 180: Cage Warriors 180,CW,2024-11-15,Indigo at the O2,"London, England",1448
1511,KSW 100: Khalidov vs. Bartosinski,KSW,2024-11-16,Gliwice Arena,"Gliwice, Poland",1449
1512,UFC 309: Jones vs. Miocic,UFC,2024-11-16,Madison Square Garden,"New York City, New York, USA",1450
1513,UFC on ESPN+ 106: Yan vs. Figueiredo,UFC,2024-11-23,Galaxy Arena,"Macau, China",1451
1514,CW 181: Cage Warriors 181,CW,2024-11-23,Vertu Motors Arena,"Newcastle, England",1452
1515,PFL 10: 2024 Season,PFL,2024-11-29,King Saud University Stadium,"Riyadh, Saudi Arabia",1453
1516,UFC 310: Pantoja vs. Asakura,UFC,2024-12-07,T-Mobile Arena,"Las Vegas, Nevada, USA",1454
1517,UFC on ESPN 65: Covington vs. Buckley,UFC,2024-12-14,Amalie Arena,"Tampa, Florida, USA",1455
