id,name,promotion,date,venue,location,event_order
752,TUF 24 Finale: Tournament of Champions,UFC,2016-12-03,Palms Casino Resort,"Las Vegas, Nevada, USA",730
751,Bellator 167: Taimanglo vs. Caldwell 2,BELLATOR,2016-12-03,WinStar World Casino,"Thackerville, Oklahoma, USA",731
750,KSW 37: Circus of Pain,KSW,2016-12-03,Tauron Arena,"Krakow, Poland",732
753,UFC Fight Night 102: Lewis vs. Abdurakhimov,UFC,2016-12-09,Times Union Center,"Albany, New York, USA",733
755,UFC 206: Holloway vs. Pettis,UFC,2016-12-10,Air Canada Centre,"Toronto, Ontario, USA",734
756,Bellator 169: King Mo vs Ishii,BELLATOR,2016-12-16,3Arena,"Dublin, Ireland",735
757,UFC on Fox 22: VanZant vs. Waterson,UFC,2016-12-17,Golden 1 Center,"Sacramento, California, USA",736
758,UFC 207: Nunes vs. Rousey,UFC,2016-12-30,T-Mobile Arena,"Las Vegas, Nevada, Canada",737
759,WSOF 34: Gaethje vs. Firmino,WSOF,2016-12-31,The Theater at Madison Square Garden,"New York City, New York, USA",738
762,Invicta FC 21: Anderson vs. Tweet,INVICTA,2017-01-14,Scottish Rite Temple,"Kansas City, Missouri, USA",739
763,UFC Fight Night 103: Rodríguez vs. Penn,UFC,2017-01-15,Talking Stick Resort Arena,"Phoenix, Arizona, USA",740
764,Bellator 170: Ortiz vs. Sonnen,BELLATOR,2017-01-21,The Forum,"Inglewood, California, Canada",741
765,Bellator 171: Guillard vs. Njokuani,BELLATOR,2017-01-27,Kansas Star Casino,"Mulvane, Kansas, USA",742
766,UFC on Fox 23: Shevchenko vs. Peña,UFC,2017-01-28,Pepsi Center,"Denver, Colorado, USA",743
769,UFC Fight Night 104: Bermudez vs. Korean Zombie,UFC,2017-02-04,Toyota Center,"Houston, Texas, USA",744
771,UFC 208: Holm vs. de Randamie,UFC,2017-02-11,Barclays Center,"Brooklyn, New York, USA",745
773,Bellator 172: Thomson vs. Pitbull,BELLATOR,2017-02-18,SAP Center,"San Jose, California, USA",746
772,CWFC 80: Amoussou vs. Inman,CW,2017-02-18,O2 Indigo,"London, England",747
774,UFC Fight Night 105: Lewis vs. Browne,UFC,2017-02-19,Scotiabank Centre,"Halifax, Nova Scotia, Canada",748
775,Bellator 173: McGeary vs. McDermott,BELLATOR,2017-02-24,SSE Arena,"Belfast, Northern Ireland",749
776,Bellator 174: Coenen vs. Budd,BELLATOR,2017-03-03,WinStar World Casino,"Thackerville, Oklahoma, USA",750
777,UFC 209: Woodley vs. Thompson 2,UFC,2017-03-04,T-Mobile Arena,"Las Vegas, Nevada, USA",751
778,CWFC 81: Moore vs Clark,CW,2017-03-04,3Arena,"Dublin, Ireland",752
779,UFC Fight Night 106: Belfort vs. Gastelum,UFC,2017-03-11,Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil",753
780,UFC Fight Night 107: Manuwa vs. Anderson,UFC,2017-03-18,The O2 Arena,"London, England",754
781,WSOF 35: Ivanov vs. Jordan,WSOF,2017-03-18,Turning Stone Resort & Casino,"Verona, New York, USA",755
788,Invicta FC 22: Evinger vs. Kunitskaya II,INVICTA,2017-03-25,Scottish Rite Temple,"Kansas City, Missouri, USA",756
789,Bellator 175: Rampage vs. King Mo 2,BELLATOR,2017-03-31,Allstate Arena,"Rosemont, Illinois, USA",757
790,CWFC 82: Pimblett vs. Narimani,CW,2017-04-01,Echo Arena Liverpool,"Liverpool, England",758
791,KSW 38: Live in Studio,KSW,2017-04-07,Apricor Studio,"Warsaw, Poland",759
793,UFC 210: Cormier vs. Johnson 2,UFC,2017-04-08,KeyBank Center,"Buffalo, New York, USA",760
792,Bellator 176: Carvalho vs. Manhoef 2,BELLATOR,2017-04-08,Pala Alpitour,"Torino, Italy",761
794,Bellator 177: Dantas vs. Higo,BELLATOR,2017-04-14,Budapest Sports Arena,"Budapest, Hungary",762
795,UFC on Fox 24: Johnson vs. Reis,UFC,2017-04-15,Sprint Center,"Kansas City, Missouri, USA",763
