id,ufcstats_id,event_id,bout_order,fighter_1_id,fighter_2_id,outcome_method,end_round_time_info,billing,weight_class,fighter_1_odds,fighter_2_odds,fighter_1_weight,fighter_2_weight,fighter_1_gym_info,fighter_1_gym_ids,fighter_2_gym_info,fighter_2_gym_ids
661-ufc-76-jeremy-lil-heathen-stephens-vs-diego-the-octopus-saraiva,a1b912fe361f75bc,ufc-76-knockout,3,jeremy-stephens-lil-heathen,diego-saraiva-the-octopus,"Decision, Unanimous","3 Rounds, 15:00 Total",Preliminary Card (fight 3 of 9),155 lbs (70.3 kg),-198 (Moderate Favorite),+158 (Slight Underdog),155.0 lbs (70.3 kgs),155.5 lbs (70.5 kgs),Alliance MMA,233-alliance-mma,N/A,
670-ufc-76-rich-no-love-clementi-vs-anthony-rumble-johnson,4a7d39ebc9dce5db,ufc-76-knockout,4,rich-clementi-no-love,anthony-johnson-rumble,"Submission, Rear Naked Choke","3:05 Round 2 of 3, 8:05 Total",Preliminary Card (fight 4 of 9),177 lbs (80.3 kg) (re-scheduled from 170.0),+184 (Slight Underdog),-228 (Moderate Favorite),169.0 lbs (76.7 kgs),177.5 lbs (80.5 kgs),Team Voodoo,,Kill Cliff FC,9248-sanford-mma
676-ufc-76-tyson-griffin-vs-thiago-tavares,669e3927b38a36fb,ufc-76-knockout,5,tyson-griffin,thiago-tavares,"Decision, Unanimous","3 Rounds, 15:00 Total",Main Card (fight 5 of 9),155 lbs (70.3 kg),-133 (Slight Favorite),-100 (Near Even),155.5 lbs (70.5 kgs),154.5 lbs (70.1 kgs),American Kickboxing Academy,63-american-kickboxing-academy,Ataque Duplo,
693-ufc-76-lyoto-the-dragon-machida-vs-kazuhiro-kaz-nakamura,90fb826944c46000,ufc-76-knockout,6,lyoto-machida-the-dragon,kazuhiro-nakamura-kaz,"Decision, Unanimous","3 Rounds, 15:00 Total",Main Card (fight 6 of 9),205 lbs (93.0 kg),-250 (Moderate Favorite),+203 (Moderate Underdog),205.5 lbs (93.2 kgs),205.0 lbs (93.0 kgs),Black House MMA,779-black-house-mma,Yoshida Dojo,2214-yoshida-dojo
2080-ufc-76-jon-fitch-vs-diego-nightmare-sanchez,344e6898a381648f,ufc-76-knockout,7,jon-fitch,diego-sanchez-nightmare,"Decision, Split","3 Rounds, 15:00 Total",Main Card (fight 7 of 9),170 lbs (77.1 kg),-135 (Slight Favorite),+105 (Near Even),171.0 lbs (77.6 kgs),170.0 lbs (77.1 kgs),American Kickboxing Academy,63-american-kickboxing-academy,Jackson Wink MMA Academy,60-jacksons-mma
2086-ufc-76-forrest-griffin-vs-maurcio-shogun-rua-i,6773055965441b18,ufc-76-knockout,8,forrest-griffin,mauricio-rua-shogun,"Submission, Rear Naked Choke","4:45 Round 3 of 3, 14:45 Total",Co-Main Event (fight 8 of 9),205 lbs (93.0 kg),+233 (Moderate Underdog),-293 (Moderate Favorite),205.0 lbs (93.0 kgs),205.5 lbs (93.2 kgs),Xtreme Couture,724-xtreme-couture,Kings MMA (Other); Shogun Team (Primary),845-kings-mma; 9829-shogun-team
2093-ufc-76-the-dean-of-mean-keith-jardine-vs-chuck-the-iceman-liddell,068e118edac9e057,ufc-76-knockout,9,keith-jardine-the-dean-of-mean,chuck-liddell-the-iceman,"Decision, Split","3 Rounds, 15:00 Total",Main Event (fight 9 of 9),205 lbs (93.0 kg),+290 (Moderate Underdog),-395 (Moderate Favorite),204.5 lbs (92.8 kgs),205.5 lbs (93.2 kgs),Jackson Wink MMA Academy,60-jacksons-mma,The Pit,717-the-pit
2102-ufc-77-matt-the-real-one-grice-vs-jason-the-black-legion-black,91f7986d6fee7d57,ufc-77-hostile-territory,1,matt-grice-the-real-one,jason-black-the-black-legion,"Decision, Unanimous","3 Rounds, 15:00 Total",Preliminary Card (fight 1 of 9),155 lbs (70.3 kg),+253 (Moderate Underdog),-383 (Moderate Favorite),155.0 lbs (70.3 kgs),156.0 lbs (70.8 kgs),Titan Martial Arts,,Miletich Fighting Systems,1149-miletich-fighting-systems
2109-ufc-77-josh-the-peoples-warrior-burkman-vs-forrest-the-meat-cleaver-petz,a9e13a29a332c886,ufc-77-hostile-territory,2,josh-burkman-the-peoples-warrior,forrest-petz-the-meat-cleaver,"Decision, Split","3 Rounds, 15:00 Total",Preliminary Card (fight 2 of 9),170 lbs (77.1 kg),-308 (Moderate Favorite),+248 (Moderate Underdog),171.5 lbs (77.8 kgs),170.0 lbs (77.1 kgs),Team Quest,902-team-quest,Strong Style Fight Team,1532-strong-style-fight-team
2117-ufc-77-demian-maia-vs-ryan-jensen,5498622706d8dc17,ufc-77-hostile-territory,3,demian-maia,ryan-jensen,"Submission, Rear Naked Choke",2:40 Round 1 of 3,Preliminary Card (fight 3 of 9),185 lbs (83.9 kg),-198 (Moderate Favorite),+163 (Slight Underdog),185.0 lbs (83.9 kgs),185.5 lbs (84.1 kgs),Vila da Luta,8510-vila-da-luta,Jackson Wink MMA Academy,60-jacksons-mma
