id,ufcstats_id,sherdog_id,bestfightodds_id,ufc_id,wikipedia_url,name,nickname,date_of_birth,height,reach,nationality,birth_location
17490-sean-soriano,bd5403efbaa445c0,61682,sean-soriano-3558,Sean-Soriano,https://en.wikipedia.org/wiki/Sean_Soriano,Sean Soriano,N/A,1989-10-06,"5'9"" (176cm)","71.0"" (180cm)",United States,"Providence, Rhode Island, United States"
175214-ketlen-souza,8bd4200561c77a62,272209,ketlen-souza-13460,ketlen-souza,https://en.wikipedia.org/wiki/Ketlen_Souza,Ketlen Souza,Esquentadinha,1995-08-18,"5'3"" (161cm)","63.0"" (160cm)",Brazil,Brazil
17534-andy-ogle,b6c4451cb13c9303,42659,andy-ogle-3308,,https://en.wikipedia.org/wiki/Andy_Ogle,Andy Ogle,The Little Axe,1989-02-16,"5'8"" (173cm)","66.0"" (168cm)",United Kingdom,England
17546-byron-bloodworth,ecdf14f4f8643d39,17355,byron-bloodworth-2934,,https://en.wikipedia.org/wiki/Byron_Bloodworth,Byron Bloodworth,N/A,1983-08-16,"5'8"" (172cm)","72.0"" (183cm)",United States,"Lynchburg, Virginia, United States"
17551-pingyuan-liu,31bbd39c0a075d4e,83520,pingyuan-liu-7732,pingyuan-liu,https://en.wikipedia.org/wiki/Pingyuan_Liu,Pingyuan Liu,N/A,1993-02-13,"5'6"" (168cm)","72.0"" (183cm)",China,"Jiaozuo, Henan, China"
17554-vinc-pichel,c77a953488e5607d,57848,vinc-pichel-3284,vinc-pichel,https://en.wikipedia.org/wiki/Vinc_Pichel,Vinc Pichel,From Hell,1982-11-23,"5'10"" (178cm)","72.0"" (183cm)",United States,"Lancaster, California"
175629-uros-medic,681399317dbf4701,272505,uros-medic-10229,uros-medic,https://en.wikipedia.org/wiki/Uroš_Medić,Uros Medic,The Doctor,1993-04-25,"6'1"" (185cm)","71.0"" (180cm)",Serbia,"Novi Sad, Serbia"
17572-darrell-horcher-the-saint,18e8b7070228e728,47899,darrell-horcher-5957,darrell-horcher,https://en.wikipedia.org/wiki/Darrell_Horcher,Darrell Horcher,The Saint,1987-07-28,"5'10"" (178cm)","72.0"" (183cm)",United States,United States
17597-olivier-aubin-mercier,55ee431411ccf07a,86241,olivier-aubin-mercier-4841,olivier-aubin-mercier,https://en.wikipedia.org/wiki/Olivier_Aubin-Mercier,Olivier Aubin-Mercier,The Canadian Gangster,1989-02-23,"5'9"" (175cm)","70.5"" (179cm)",Canada,"Montreal, Quebec, Canada"
17708-chris-kelades,56c9acc4e86046a2,51576,chris-kelades-4886,,,Chris Kelades,The Greek Assassin,1981-02-21,"5'7"" (170cm)","68.0"" (173cm)",Canada,"Dartmouth, Nova Scotia, Canada"
17737-mike-wilkinson,cfaf010d5b389c09,50586,mike-wilkinson-3763,,,Mike Wilkinson,The Warrior,1987-09-15,"5'8"" (173cm)","66.0"" (168cm)",United Kingdom,England
