id,name,nickname,date_of_birth,reach_inches,height_inches,stance,team_id,nationality,fighting_style
2354118,Bill Mahood,The Butcher,1967-02-01,,75,Orthodox,,,
2354119,Renzo Gracie,,1967-03-11,,70,Orthodox,789,Brazil,Brazilian Jiu-Jitsu
2354120,Rodrigo Gracie,,1975-03-11,,72,Orthodox,,,
2354121,Duane Ludwig,Bang,1978-08-04,70.0,70,Orthodox,426,,
2354123,Evert Fyeet,,,,,,,,
2354124,Alvin Robinson,Kid,1982-07-16,68.0,69,Southpaw,,USA,
2354126,Dokonjonosuke Mishima,,1972-04-19,,67,Southpaw,,,
2354127,Yoshihiro Akiyama,Sexyama,1975-07-29,75.0,70,Orthodox,81,Japan,Judo
2354128,Sam Stout,Hands of Stone,1984-04-23,70.0,69,Orthodox,151,Canada,"Grappling,Dirty Boxing"
2354129,Kit Cope,,1977-03-17,,72,Orthodox,,,
2354130,Johny Hendricks,Bigg Rigg,1983-09-12,69.0,69,Southpaw,785,,
2354131,Ronald Jhun,The Machine,,,71,Orthodox,,,
2354132,Jose Landi-Jons,Pele,1973-09-15,,71,Orthodox,443,,Brazilian Jiu-Jitsu
