id,name
4767,Black Sheep MMA
4787,Fight or Die
4807,Striker's House
4827,New Wave Academy
4829,Miura Dojo
4831,Bonsai Jiu-Jitsu
4847,Team Lionheart
4887,Academy of Martial Arts
4888,Killer Bees
4907,Demian Maia Jiu-Jitsu
4927,American Top Team Wolfpack
4947,Fight Move Academy
4948,Gordinho Fight Team
4967,De Tomas MMA
5007,Team Renzo Gracie
5027,KMA Top Team
5068,T-Grip Tokyo
5087,SBG Charlestown
5147,HMC
5167,Sech Pro
5187,K-1 Gym
5207,Fight Club Berkut
5227,Hard Fight
5247,Fight Ugly
5287,Team Cit
5307,American Revolution MMA
5308,City Kickboxing
5347,Kings MMA
5367,Rasthai Temple
5407,Machado Team
5467,UFD Gym
5487,Strela Team
5527,Atch Academy
5549,Evolucao Thai
5568,Combat Training Club
5587,Alemao Brothers Team
5607,Krepost
5627,MMA Red Star
5647,Glory MMA & Fitness
5687,Combat Dobro
5708,Jesus is Lord
5727,I & I Training Center
5768,Lobo Gym MMA
5769,Freedom Fighters
5770,Spartan Fitness
5771,Parana Vale Tudo
5772,Team Climb
5773,Bushido Academie
5774,Hammers Team
5775,Pro Fighting Peru
5776,Rizzo RVT
5777,UWF-USA
5778,Invictus MMA
5779,Long Island MMA
5780,Imperio Fight
5781,Ryan's MMA - Checkmat Vancouver
5782,Akhmat Fight Team
5787,Berkut WCA Fight Team
5788,Broadway Jiu-Jitsu
5790,Scottish Hit Squad
5792,Corinthians MMA
5793,Our Town MMA
5795,Fight Ready
5796,Lutadores Opole
5797,Scorpion Fighting System
5798,Budokan Martial Arts Academy
5799,Team Rubao Carioca BJJ
5801,2 Knuckle Sports MMA Academy
5802,Minhoca Top Team
5803,Alan Belcher MMA Club
5804,Arte Suave Copenhagen
5805,Planet Eater
5806,Budapest Top Team
5808,Genesis Training Center
5809,Troop MMA
5827,Forge Combat Academy
5847,Gloria Fight Center
5848,The MMA Clinic
5849,Biagtian Muay Thai
5867,Vos Gym
5868,Gracie Barra BH
5887,Redline Training Center
5888,Team Capanay
5907,Michigan Top Team
5927,Tillery Combat MMA Academy
5947,Higher Level Martial Arts
5948,Indy Boxing & Grappling
5950,Chris Rees Academy
5951,MMA Factory
5952,Korean Zombie MMA
5953,Nostos MMA
5954,Australian Top Team
5956,Resilience Training Centre
5957,Tatsujin Dojo
5959,Revolution MMA
5961,Allstars Training Center
5962,K-Taro Dojo
5964,Pitbull Martial Arts Center
5965,Tata Fight Team
5967,Finnfighters Gym
5968,Delincuentes MMA
5969,Lions High Performance Centre
5970,Dragon Kombat
5971,Gym 23
5972,Viscardi Andrade Team
5973,Piranha Grappling Team
5975,Team Maximo
5987,Pittsburgh Fight Club
5988,Gracie Barra Woodlands
5990,Elemental Dojo
5991,Killer B Combat Sports Academy
5992,Lauzon MMA
5993,Valle Flow Striking
5994,Eagles MMA
6007,ET MMA
6027,Baltic Challenge Team
6028,Central Valley Combat Academy
6029,Team Impact
6030,CQuence Jiu-Jitsu
6032,Titans MMA
6047,Gracie Barra Portland
6049,AKS Chorzow
6050,Hybrid Training Centre
6067,AllStar BJJ
6088,Fortis MMA
6107,Arena Dortmund
6147,Chosen Few Gym
6167,Luttrell-Yee MMA
6187,Fort Collins Martial Arts
6227,Sabens Martial Arts
6267,Ronildo Nobre Judo Club
6268,Master Kombat
6269,Thai Unit
6270,Five Rounds
6307,Fabiana Belai Muay Thai
6347,Torture Athletics
6447,Team Bodyshop
6487,Pure MMA
6547,Enbo Gedou
6567,Longview MMA
6587,Yakima MMA
6627,Unrivaled Athletics
6628,Superhuman Gym
6630,Fight Fit Militia
6667,Tigre MMA
6687,Frank Mir Gym
6689,Karate Mafia
6707,Triumph MMA
6747,Greco and Stewie's House
6787,Treigning Lab 
6807,BMF Ranch
6847,Rio Fighters
6867,Renegade MMA
6907,Shield Systems MMA
6908,Nashville MMA
6927,Combat Club Cologne
6947,Akademia Sportow Walki Wilanow
7027,Teixeira MMA & Fitness
7047,BKK Fighters
7048,Team R.O.C.
7067,Barata MMA
7068,Triton Fight Center
7087,Rise Combat Sports
7167,MMA Institute
7207,Forge Training Centre
7227,FAF Kickboxing
7228,Lion of Judah
7229,Gracie Technics
7247,The Sound Martial Arts
7287,Cerrado MMA
7307,Tri-Force MMA
7327,Munich MMA
7347,Ankos MMA
7348,Reinders MMA
7367,American Top Team Portland
7387,El Nino Training Center
7407,Charlie's Combat Club
7408,Combat Club
7428,Gracie Tampa South
7430,Rangel Farias Team
7468,SSF Submission Academy
7469,Top Team Salzburg
7470,Lion Club
7507,Maximum Training Centre
7527,Babuino Gold Team
7547,Bulgarian Top Team
7567,Harris Holt Combat Sports
7587,New England Cartel
7627,Murcielago MMA
7647,Impact Jiu Jitsu
7667,American Elite MMA
7688,MMA-KEGI
7689,Sityodtong Boston
7707,AKA Thailand
7708,Oklahoma Martial Arts Academy
7709,Inside Muay Thai
7710,Capital Da Luta
7727,Barbarian Combat Sports
7728,Jackson's MMA Acoma
7729,Shaved Bears MMA
7730,Jupps Fight Team
7747,Regiment Traing Center
7748,Embrace Martial Arts
7749,Pit MMA
7750,Immortal Martial Arts
7751,Westside Fight Team
7752,Gintas Combat
7753,RD Sport
7755,Igor MMA
7767,Checkmat Vancouver
7768,Team Borracha
7788,10eme Round
7807,Pinnacle MMA
7810,CT Fronteira Fight
7811,Life MMA
7814,W4R Training Center
7815,UFC Gym Winter Springs
7816,Kron Gracie Jiu-Jitsu
7827,UFC Performance Institute Shanghai
7828,Erkin Kush
7847,All Sports Academy
7867,Academia Fight House
7868,Sambo-Piter
7869,Thornton Martial Arts
7870,Rati
7874,ATS Team Tres Rios
7887,Industrials
7908,Camp Fight
7909,Revolution Dojo
7911,Frankiko Team
7914,Thai Brasil
7927,Monster Gym
7928,Fusion X-Cel
7933,Sanford MMA
7934,Mexican Pride
7947,Berkut FC
7949,Dragon's Lair MMA
7967,Gym-O
7968,GOR MMA
7987,Polar Bear Team
8007,Secutor
8027,Subfighter MMA
8047,Zenith Jiu-Jitsu
8067,Team Nogueira Dubai
8107,Fightfit Militia
8108,Catalyst MMA
8127,Wolves Den Training Center
8128,ONX Sports
8147,10th Planet Jiu Jitsu
8148,Martinez BJJ
8167,Pittsburgh Academy
8188,Warrior Camp MMA
8190,StrKings
8207,EFL Martial Arts Academy
8227,SBG Bishop Auckland
8248,A.D.A.M
8267,Shore Mixed Martial Arts Centre of Excellence
8288,Lost Boys Jiu Jitsu and Muay Thai
8307,ADAM Coatzacoalcos
8327,Tactica BJJ
8347,Longo-Weidman MMA
8367,A4 Fitness
8387,Gladiator MMA
8447,Fighter House
8507,Golden Team
8527,Avalanche Wrestling Association
8547,Genesis BJJ
8567,Vida BJJ
8607,Para Bellum MMA
8627,Port City Sports Performance
8647,Ground Control Academy
8667,California Mixed Martial Marts
8668,Legacy Jiu-Jitsu
8687,American Top Team Zagreb
8707,Forza Combat Sports
8767,Port City Kickboxing Academy
8787,Fight Club Scorpion
8788,Red's Boxing Club
8807,Spike 22
8827,Carlson Gracie Riverside
8847,Macomb Martial Arts
8887,Spartakus Fight Gym
8907,Team Crossface
8927,Climent Club
8928,Buddy Gym MMA St. Gallen
8947,Old School MMA
8987,Chute Boxe - Diego Lima
9007,AK-49 Martial Arts
9027,Nick Diaz Academy
9047,Elite Fitness and Martial Arts
9067,Goldenstars Boxing
9087,Beacon MMA
9107,Silver Fox BJJ
9147,Team Figueiredo
9167,RVCA 
9187,Gracie Jiu-Jitsu Smeaton Grange
9207,Osman Gym
9227,Blood Sweat and Tears
9247,Lions Fight Martial Arts
9267,Fairtex Gym
9287,Kharkov Top Team
9327,Team Stun Gun
9328,Bastion Tychy
9347,Midwest Training Center
9367,Fort Benning MMA
9407,Brazilian Top Team Texas
9408,Team Quest
9427,SoCal Fight Factory
9447,Algeo MMA and Kickboxing
9467,Fusboxe
9487,Aurum Sport Club
9547,Scrappy MMA
9567,Renovacao Fight Team
9587,Snap Down City Academy
9607,Longyun MMA Gym
9627,Kickside Martial Arts
9667,Elevate MMA
9687,House Of Champions
9707,Axe Capoeira Vancouver
9708,Xinjiang Fight Gym
9727,GBG MMA
9747,Dante Rivera BJJ
9767,Overcome Academy
9768,MSP
9787,Gladiators Academy Of Lafayette
9848,Roxo Strike Team
9850,Niagara Top Team
9851,CWB Fighter
9867,Pete Spratt Muay Thai
9868,UKF Gym
9907,Team Ferreira
9947,Black Sails MMA
9967,American Combat Gym
10027,Boxing Squad
10028,Fight Science MMA
10047,Warrior Fight Club
10048,Academy MMA
10067,Machida Karate Academy
10107,KHK MMA Team
10127,Dominate MMA
10148,Atos Jiu-Jitsu
10167,FedorTeam
10187,H2O MMA
10207,Carlson Gracie Team Ohio
10227,Pound 4 Pound Fitness
10247,Borneo Tribal Squad
10267,Black Lion Jiu-Jitsu
10287,Dagestan Fighter
10288,Manchester Top Team
10289,Kops Gym
10347,Great Britain Top Team
10367,Wilkes Martial Arts
10387,Kongo Smashin' Club
10407,Range MMA Academy
10427,Sombra Team MMA
10487,Fighting Nerds
10508,Paraestra Okinawa
10567,Maximo's Combat Club
10587,TKBC Praha
10588,Samurai Kazakhstan
10607,Fearless MMA
10667,Middlesbrough Fight Academy
10687,Team Fish Tank
10708,Paragon BJJ
10747,Team Dexter Vale Tudo
10767,Salty Dog Jiu Jitsu
10787,Bonebreakers MMA
10827,Team Underground MMA
10847,Ukmerge Judo Club
10848,Full House MMA
10867,Team Bonafide
10868,Travis Lutter BJJ
10887,Aurora MMA
10907,Sussex County MMA
10927,Lotus Setagaya
10947,Platinum Boxing Club
10948,FKP MMA Vancouver
10950,Nordeste Jiu-Jitsu
10951,Berserker's Team
10953,Brazilian Black Thai
10954,Inv1ktus Durango
10955,Blitz Sport MMA
10956,13 Legion MMA
10958,Shoot Team Academy
10959,The Goat Shed
10960,Bulldog Boxing
10967,Kill Cliff FC
10987,Spartakus Rzeszow
11027,Team Colon MMA
11047,Huntington Beach Ultimate Training Center
11048,Renzo Gracie Houston
11067,Antonio Silva Martial Arts School
11087,Power Lotus Team
11088,Art Of War MMA
11127,Bangtao Muay Thai
11128,Purebred BJJ Guam
11147,Team Nunes
