bout_id,fighter_id,knockdowns_scored,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_slams_landed,takedowns_attempted,reversals_scored,significant_strikes_distance_head_landed,significant_strikes_distance_head_attempted,significant_strikes_distance_body_landed,significant_strikes_distance_body_attempted,significant_strikes_distance_leg_landed,significant_strikes_distance_leg_attempted,significant_strikes_clinch_head_landed,significant_strikes_clinch_head_attempted,significant_strikes_clinch_body_landed,significant_strikes_clinch_body_attempted,significant_strikes_clinch_leg_landed,significant_strikes_clinch_leg_attempted,significant_strikes_ground_head_landed,significant_strikes_ground_head_attempted,significant_strikes_ground_body_landed,significant_strikes_ground_body_attempted,significant_strikes_ground_leg_landed,significant_strikes_ground_leg_attempted,advances,advances_to_back,advances_to_half_guard,advances_to_mount,advances_to_side,submissions_attempted
151297,2552906,0,25,38,0,0,0,2,1,6,1,1,1,1,2,2,1,2,0,0,5,11,2,2,0,0,0,0,0,0,0,0
151297,2574116,0,31,44,5,1,9,1,0,3,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,6,2,3,0,1,2
151298,2335690,1,36,81,0,0,0,0,17,59,1,2,5,5,0,0,0,0,0,0,0,0,0,0,9,10,1,0,0,1,0,2
151299,2486967,0,47,57,1,0,4,1,0,8,3,3,4,4,2,2,0,0,1,1,0,0,6,6,6,6,0,0,0,0,0,0
151299,2495165,0,39,51,3,0,5,0,1,10,1,2,1,1,0,0,0,0,0,0,3,3,0,0,0,0,7,0,4,0,3,6
151300,2354359,0,2,3,1,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
151300,2555761,0,46,66,0,0,0,1,2,11,0,0,2,2,0,0,1,1,0,0,13,20,4,4,1,1,2,1,0,1,0,1
151302,2559798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151303,2559799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151304,2559800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151305,2559801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151306,2559802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151307,2500725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151308,2559803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151309,2559804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151310,2559805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151311,2559806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151312,2559820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151313,2559807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151314,2559809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151315,2559808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151316,2559810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151317,2559811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151318,2559812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151319,2559813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151320,2559814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151321,2557035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151322,2559815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151326,2559814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151329,2354242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151330,2335780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151332,2354346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151333,2506250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151334,2558612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151335,2504993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151336,2335702,0,87,208,0,0,1,0,21,109,14,28,21,35,4,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151337,2354130,0,90,159,1,0,6,0,20,73,2,2,2,5,11,19,13,16,6,6,0,0,0,0,0,0,0,0,0,0,0,0
151337,2497723,0,81,145,1,1,4,0,7,49,4,9,2,2,15,29,5,6,1,1,3,3,0,0,0,0,0,0,0,0,0,0
151338,2335716,0,34,42,0,0,0,0,1,7,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151338,2354193,0,109,140,3,0,7,0,2,8,2,2,0,0,0,0,0,0,0,0,6,16,0,0,0,0,3,2,0,0,1,0
151339,2335696,1,48,104,0,0,0,1,37,92,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151345,2506549,0,31,63,1,0,1,0,7,22,1,3,1,2,2,2,0,0,1,1,5,17,0,0,0,0,1,0,1,0,0,1
151345,2526824,0,24,44,0,0,2,0,1,8,4,9,8,11,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
151346,2354087,0,20,47,1,0,1,0,9,27,1,3,5,10,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1
151346,2504178,0,17,38,2,0,4,0,0,14,3,3,0,3,0,0,0,0,0,0,2,6,3,3,1,1,1,0,1,0,0,1
151347,2502589,1,6,20,0,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
151348,2557945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151349,2557945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151349,2558140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151350,2488775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151350,2557945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151351,2557945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151352,2335752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151352,2557945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151353,2557945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151354,2557945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151355,2557945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151356,2557945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151356,2558045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151357,2557945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151358,2557945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151359,2557945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151360,2557945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151361,2473333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151361,2557945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151362,2335761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151362,2557945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151363,2557945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151364,2557945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151365,2447641,1,15,27,0,0,0,0,2,9,1,1,4,8,1,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
151365,2504172,0,18,28,0,0,7,0,1,9,1,1,7,9,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
151373,2501723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151374,2500449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151375,2431335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151377,2431335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151378,2335497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151380,2335497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151380,2335880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151381,2335497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151382,2335497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151383,2335497,0,65,80,3,1,3,0,5,10,0,0,0,0,10,14,0,0,0,0,11,16,2,2,0,0,1,0,0,0,1,0
151383,2479914,2,30,43,2,1,3,0,9,17,2,2,8,9,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
151385,2335497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151385,2488177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151386,2335497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151387,2504929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151388,2354277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151390,2336286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151392,2335692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151395,2552406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151395,2559762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151396,2501670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151398,2500138,0,53,74,2,1,12,0,6,14,1,3,2,4,5,7,0,2,5,5,3,3,1,1,0,0,2,1,0,0,1,0
151398,2504613,0,65,84,0,0,3,0,2,11,0,1,1,3,11,16,14,15,0,1,0,0,0,0,0,0,0,0,0,0,0,3
151399,2335748,0,24,33,0,0,0,0,0,4,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151401,2335676,0,2,6,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
151402,2335675,0,69,165,1,0,19,0,9,71,3,15,13,20,2,7,10,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0
151402,2447641,0,66,131,0,0,0,0,27,78,4,9,6,10,7,9,1,1,0,0,4,6,0,0,2,2,2,0,0,2,0,0
151404,2335772,0,94,353,0,0,0,0,85,331,3,12,2,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151404,2560087,0,35,206,0,0,5,0,17,167,5,15,11,22,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151405,2565811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151419,2511420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151422,2335878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151425,2354107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151426,2500722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151428,2335639,1,26,55,1,0,2,0,3,15,2,9,9,16,0,2,4,4,3,3,3,4,0,0,0,0,0,0,0,0,0,1
151429,2335521,0,42,48,0,0,1,1,6,12,0,0,0,0,7,7,5,5,0,0,3,3,0,0,0,0,0,0,0,0,0,1
151430,2381659,1,80,119,0,0,0,0,2,15,0,0,0,0,12,18,3,3,0,0,12,26,25,28,0,0,0,0,0,0,0,0
151431,2335699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151432,2335699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151433,2335699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151434,2552406,1,66,93,0,0,0,0,42,66,5,5,4,4,7,9,5,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0
151435,2587852,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
