id,pk,slug,name,nickname,date_of_birth,height_centimeters,reach_inches,leg_reach_inches,fighting_style,stance,nationality
RmlnaHRlck5vZGU6MTAxMQ==,1011,john-cofer-1011,John Cofer,The Potter,1984-04-29,175.0,67.0,,Wrestler,Southpaw,United States
RmlnaHRlck5vZGU6MTAxMg==,1012,carlos-condit-1012,Carlos Condit,The Natural Born Killer,1984-04-26,186.0,76.0,44.0,Striker / Bjj Grappler,Orthodox,United States
RmlnaHRlck5vZGU6MTAxMw==,1013,chris-cope-1013,Chris Cope,C-Murder,1983-03-05,185.0,72.0,,Technical Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTAxNA==,1014,akira-corassani-1014,Akira Corassani,Akira,1982-08-27,172.7,67.0,,Striker,Orthodox,Sweden
RmlnaHRlck5vZGU6MTAxNDc=,10147,shane-young-10147,Shane Young,Sugar,1993-07-31,173.0,72.5,,Striker,Orthodox,New Zealand
RmlnaHRlck5vZGU6MTAxNQ==,1015,daniel-cormier-1015,Daniel Cormier,DC,1979-03-20,180.0,72.0,41.0,Striker / Wrestler,Orthodox,United States
RmlnaHRlck5vZGU6MTAxNg==,1016,ryan-couture-1016,Ryan Couture,,1982-08-27,177.8,76.0,,Grappler,Orthodox,United States
RmlnaHRlck5vZGU6MTAxNw==,1017,andrew-craig-1017,Andrew Craig,Highlight,1986-01-15,186.0,75.0,,Wrestler,Southpaw,United States
RmlnaHRlck5vZGU6MTAxOA==,1018,dan-cramer-1018,Dan Cramer,Pretty Boy,1985-10-31,188.0,75.0,,Striker / BJJ Grappler,Orthodox,United States
RmlnaHRlck5vZGU6MTAxODA=,10180,jiri-prochazka-10180,Jiri Prochazka,Denisa,1992-10-14,193.0,80.0,,Striker,Orthodox,Czech Republic
RmlnaHRlck5vZGU6MTAxOQ==,1019,daron-cruickshank-1019,Daron Cruickshank,The Detroit Superstar,1985-06-11,172.7,72.0,,Striker / Wrestler,Orthodox,United States
RmlnaHRlck5vZGU6MTAyMA==,1020,dominick-cruz-1020,Dominick Cruz,Dominator,1985-09-03,172.7,69.0,37.0,Well Rounded,Orthodox,United States
RmlnaHRlck5vZGU6MTAyMQ==,1021,zak-cummings-1021,Zak Cummings,,1984-08-02,182.9,75.0,40.0,Striker / Wrestler,Southpaw,United States
RmlnaHRlck5vZGU6MTAyMg==,1022,paul-daley-1022,Paul Daley,Semtex,1983-02-21,175.0,74.0,,Striker,Orthodox,England
RmlnaHRlck5vZGU6MTAyMw==,1023,rodrigo-damm-1023,Rodrigo Damm,,1980-02-03,172.0,72.0,,Striker / Wrestler,Orthodox,Brazil
RmlnaHRlck5vZGU6MTAyNA==,1024,alexis-davis-1024,Alexis Davis,Ally-Gator,1984-10-04,165.0,67.0,,Grappler,Orthodox,Canada
RmlnaHRlck5vZGU6MTAyNQ==,1025,phil-davis-1025,Phil Davis,Mr. Wonderful,1984-09-25,188.0,79.0,,Wrestler,Orthodox,United States
RmlnaHRlck5vZGU6MTAyNg==,1026,phil-de-fries-1026,Phil De Fries,F-11,1986-04-21,194.0,79.0,,,,"Sunderland, England, United Kingdom"
RmlnaHRlck5vZGU6MTAyNw==,1027,germaine-de-randamie-1027,Germaine de Randamie,The Iron Lady,1984-04-24,181.0,72.5,,Striker,Orthodox,Netherlands
