id,name,date,location,is_ufc_event,event_order
4f74c8be51db8a37,Shooto 2005 11/6,2005-11-06,"Tokyo, Japan",0,
c7e9d15cfce52f1d,UFC 56: Full Force,2005-11-19,"Las Vegas, Nevada, USA",1,65.0
9b74de674c355425,CWFC - Strike Force 4,2005-11-26,"Coventry, England, United Kingdom",0,
93b9496275bbbf80,DEEP 22,2005-12-02,"Tokyo, Japan",0,
ab8900ae1f1dfd4c,Cage Rage 14: Punishment,2005-12-03,"London, England, United Kingdom",0,
917e53fa0adea0d3,Shooto Brazil 9,2005-12-03,Brazil,0,
7a359ef685a304a7,PRIDE Shockwave 2005,2005-12-31,"Saitama, Japan",0,
dd8aec6de7035943,WEC 18: Unfinished Business,2006-01-13,"Lemoore, California, USA",0,
2ee09ec2a0695eb9,UFC Fight Night 3,2006-01-16,"Las Vegas, Nevada, USA",1,66.0
21321cdfba797c52,ROTR 8,2006-01-20,"Honolulu, Hawaii, USA",0,
977081bc01197656,UFC 57: Liddell vs Couture 3,2006-02-04,"Las Vegas, Nevada, USA",1,67.0
02e52b3a595f0786,PRIDE 31: Unbreakable,2006-02-26,"Saitama, Japan",0,
0e9869d712e81f8f,UFC 58: USA vs Canada,2006-03-04,"Las Vegas, Nevada, USA",1,68.0
918db42c3637916f,Strikeforce - Shamrock vs. Gracie,2006-03-10,"San Jose, California, USA",0,
0e31bfd26cc8c503,K-1 Hero's 4,2006-03-15,"Tokyo, Japan",0,
1562b12763cc8d67,WEC 19: Undisputed,2006-03-17,"Lemoore, California, USA",0,
f2925e6db404bf1d,"WCFC - No Guts, No Glory",2006-03-18,"Manchester, England, United Kingdom",0,
95eb112a85601a0a,PRIDE Bushido 10,2006-04-02,"Tokyo, Japan",0,
b361180739bed4b0,UFC Fight Night 4,2006-04-06,"Las Vegas, Nevada, USA",1,69.0
03688dc3c3af3ac1,UFC 59: Reality Check,2006-04-15,"Anaheim, California, USA",1,70.0
38b50fd1e1b5b656,ROTR 9,2006-04-21,"Honolulu, Hawaii, USA",0,
4b4fc3ddc307bc73,Cage Rage 16: Critical Condition,2006-04-22,"London, England, United Kingdom",0,
8dc46e9a7895ce1a,Jungle Fight 6,2006-04-29,"Manaus, Amazonas, Brazil",0,
ab35634d1a8c7a11,IFL - Legends Championship 2006,2006-04-29,"Atlantic City, New Jersey, USA",0,
31ee470ef5dc8d7f,K-1 Hero's 5,2006-05-03,"Tokyo, Japan",0,
83b743fedde154fb,PRIDE Total Elimination Absolute,2006-05-05,"Osaka, Japan",0,
b44f39a5c6596953,WEC 20: Cinco de Mayhem,2006-05-05,"Lemoore, California, USA",0,
a54a35a670d8e852,UFC 60: Hughes vs Gracie,2006-05-27,"Los Angeles, California, USA",1,71.0
63eedfcc73071d41,PRIDE Bushido 11,2006-06-04,"Saitama, Japan",0,
ce6065baef021cf3,Strikeforce - Revenge,2006-06-09,"San Jose, California, USA",0,
6506c1d34da9c013,WEF 6/10,2006-06-10,"Las Vegas, Nevada, USA",0,
4c805f5f58a75df0,WEC 21: Tapout,2006-06-15,"Highland, California, USA",0,
1dab0d1d81dd06db,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,2006-06-24,"Las Vegas, Nevada, USA",1,72.0
445a98acb8985970,UFC Fight Night 5,2006-06-28,"Las Vegas, Nevada, USA",1,73.0
b6b12014698cc345,PRIDE Critical Countdown Absolute,2006-07-01,"Saitama, Japan",0,
f70144caea5c4c80,UFC 61: Bitter Rivals,2006-07-08,"Las Vegas, Nevada, USA",1,74.0
4e9fb05d7e5e61b8,WFA - King of the Streets,2006-07-22,"Los Angeles, California, USA",0,
93892752c5fc23ca,WEC 22: The Hitmen,2006-07-28,"Lemoore, California, USA",0,
eb29176b03dfa888,K-1 Hero's 6,2006-08-05,"Tokyo, Japan",0,
46c8ec317aff28ac,UFC Fight Night 6,2006-08-17,"Las Vegas, Nevada, USA",1,75.0
f0abbb6f3444dae7,WEC 23: Hot August Fights,2006-08-17,"Lemoore, California, USA",0,
f717b6002486f73f,UFC 62: Liddell vs Sobral,2006-08-26,"Las Vegas, Nevada, USA",1,76.0
1ccf4e7caff270df,PRIDE Bushido 12,2006-08-27,"Nagoya, Aichi, Japan",0,
263ebd4a669e1e98,PRIDE Final Conflict Absolute,2006-09-10,"Saitama, Japan",0,
cc6f9d1e89f3449a,WPFC 1,2006-09-15,"Las Vegas, Nevada, USA",0,
13e62d766b709aa6,UFC 63: Hughes vs Penn,2006-09-23,"Anaheim, California, USA",1,77.0
d90b630e0561818b,IFL - Gracie vs. Miletich,2006-09-23,"Moline, Illinois, USA",0,
aa1952ec0b3dd8e1,Fury FC 1,2006-09-27,"Sao Paulo, Brazil",0,
7aa88401f93ce836,Strikeforce - Tank vs. Buentello,2006-10-07,"Fresno, California, USA",0,
d1941565abf50b16,K-1 Hero's 7,2006-10-09,"Yokohama, Kanagawa, Japan",0,
577ec7e108b94be3,Ortiz vs Shamrock 3: The Final Chapter,2006-10-10,"Hollywood, Florida, USA",1,78.0
c24b1db4b809d41b,WEC 24: Full Force,2006-10-12,"Lemoore, California, USA",0,
13b2f59210dda9cc,UFC 64: Unstoppable,2006-10-14,"Las Vegas, Nevada, USA",1,79.0
7f9f528cb72a6ed1,Shooto - Champion Carnival,2006-10-14,"Yokohama, Kanagawa, Japan",0,
1e38bba6738b7b10,PRIDE 32: The Real Deal,2006-10-21,"Las Vegas, Nevada, USA",0,
ed73c85164a5f5a4,PRIDE Bushido 13,2006-11-05,"Yokohama, Kanagawa, Japan",0,
1efa064872f089d0,Show Fight 5,2006-11-09,"Sao Paulo, Brazil",0,
baf942f4bcb09894,The Ultimate Fighter: The Comeback Finale,2006-11-11,"Las Vegas, Nevada, USA",1,80.0
b959e8c7fd8390d2,2H2H - Pride & Honor,2006-11-12,"Rotterdam, Zuid-Holland, Netherlands",0,
3fed746acfd026dd,UFC 65: Bad Intentions,2006-11-18,"Sacramento, California, USA",1,81.0
658c3465581ae46b,Storm Samurai 12,2006-11-25,"Curitiba, Parana, Brazil",0,
7d96bc577e5178b2,Fury FC 2,2006-11-30,"Sao Paulo, Brazil",0,
f0264252e191da22,Strikeforce - Triple Threat,2006-12-08,"San Jose, California, USA",0,
21b8a0f5c231096f,UFC Fight Night: Sanchez vs Riggs,2006-12-13,"San Diego, California, USA",1,82.0
b2f88c04c4dd43ce,BodogFight - St. Petersburg,2006-12-16,"Saint Petersburg, Russia",0,
98b80a717b9bda17,IFL - Championship Final,2006-12-29,"Uncasville, Connecticut, USA",0,
ee5df903f80c6816,UFC 66: Liddell vs Ortiz 2,2006-12-30,"Las Vegas, Nevada, USA",1,83.0
f57a8a52ca401ed9,K-1 Dynamite!! 2006,2006-12-31,"Tokyo, Japan",0,
0e041d43a47d2e4b,PRIDE Shockwave 2006,2006-12-31,"Saitama, Japan",0,
265589bdd93e7ce5,WEC 25: McCullough vs. Cope,2007-01-20,"Las Vegas, Nevada, USA",0,
13c4313ed0f744f3,UFC Fight Night: Evans vs Salmon,2007-01-25,"Hollywood, Florida, USA",1,84.0
63b65af1c5cb02cb,UFC 67: All or Nothing,2007-02-03,"Las Vegas, Nevada, USA",1,85.0
85e26e2468b4e82f,EliteXC - Destiny,2007-02-10,"Southaven, Mississippi, USA",0,
26eddcda9d6b2ffe,Strikeforce - Young Guns,2007-02-10,"San Jose, California, USA",0,
99dd0147dc4ef80c,Shooto - Back to Our Roots 1,2007-02-17,"Yokohama, Kanagawa, Japan",0,
2924886ee9c4c527,BodogFight - Costa Rica 2/18,2007-02-18,Costa Rica,0,
03009deaeb365676,PRIDE 33: The Second Coming,2007-02-24,"Las Vegas, Nevada, USA",0,
7450525c7ba032a0,Pancrase - Rising 2,2007-02-28,"Tokyo, Japan",0,
de3ed2e152520c8d,UFC 68: The Uprising,2007-03-03,"Columbus, Ohio, USA",1,86.0
7a15f3694c5cbc02,Floripa Fight 4,2007-03-10,"Florianopolis, Santa Catarina, Brazil",0,
501b07aec9b8fc2d,K-1 Hero's 8,2007-03-12,"Nagoya, Aichi, Japan",0,
040426baba8a45e8,WEC 26: Condit vs. Alessio,2007-03-24,"Las Vegas, Nevada, USA",0,
a6c2f5381d575920,UFC Fight Night: Stevenson vs Guillard,2007-04-05,"Las Vegas, Nevada, USA",1,87.0
c1684f00c626f4c0,UFC 69: Shootout,2007-04-07,"Houston, Texas, USA",1,88.0
952f6fa06f25a0ec,IFL - Moline,2007-04-07,"Moline, Illinois, USA",0,
b76ed59283d3559c,PRIDE 34: Kamikaze,2007-04-08,"Saitama, Japan",0,
5f87a5c00b3d17ed,BodogFight - Clash of Nations,2007-04-14,"Saint Petersburg, Russia",0,
4604ab1de9058474,UFC 70: Nations Collide,2007-04-21,"Manchester, England, United Kingdom",1,89.0
06f36cf4bd97ec77,Cage Rage 21: Judgement Day,2007-04-21,"London, England, United Kingdom",0,
1209b5134401ca53,WEC 27: Marshall vs. McElfresh,2007-05-12,"Las Vegas, Nevada, USA",0,
2e04a3b4a2011b97,UFC 71: Liddell vs Jackson,2007-05-26,"Las Vegas, Nevada, USA",1,90.0
476414d2f18cd059,TKO 29,2007-06-01,"Montreal, Quebec, Canada",0,
aae99701b21554e4,K-1 Dynamite!! USA,2007-06-02,"Los Angeles, California, USA",0,
02d276b7d62b3472,WEC 28: Faber vs. Farrar,2007-06-03,"Las Vegas, Nevada, USA",0,
304fcd812f12c589,UFC Fight Night: Stout vs Fisher,2007-06-12,"Hollywood, Florida, USA",1,91.0
5ca158b1cc9cb242,UFC 72: Victory,2007-06-16,"Belfast, Northern Ireland, United Kingdom",1,92.0
ee4b670e159f4a33,Strikeforce - Shamrock vs. Baroni,2007-06-22,"San Jose, California, USA",0,
e7ec11096eac0282,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,2007-06-23,"Las Vegas, Nevada, USA",1,93.0
663b76da637402c3,K-1 - World GP 2007 in Amsterdam,2007-06-23,"Amsterdam, Noord-Holland, Netherlands",0,
2a6f8136da1e52c0,UFC 73: Stacked,2007-07-07,"Sacramento, California, USA",1,94.0
c4b9296214f4c09c,EliteXC - ShoXC 1,2007-07-27,"Santa Ynez, California, USA",0,
9d4522df6fc49a47,IFL - 2007 Semifinals,2007-08-02,"East Rutherford, New Jersey, USA",0,
270b89c00ef0c55c,Fury FC 4: High Voltage,2007-08-04,"Teresopolis, Rio de Janeiro, Brazil",0,
672ef06fd9f41f7d,WEC 29: Condit vs. Larson,2007-08-05,"Las Vegas, Nevada, USA",0,
a5c53b3ddb31cc7d,UFC 74: Respect,2007-08-25,"Las Vegas, Nevada, USA",1,95.0
a8aba6fd8a463043,WEC 30: McCullough vs. Crunkilton,2007-09-05,"Las Vegas, Nevada, USA",0,
0aa92558424ced9e,UFC 75: Champion vs Champion,2007-09-08,"London, England, United Kingdom",1,96.0
d56caaa5e123f518,EliteXC - Uprising,2007-09-15,"Oahu, Hawaii, USA",0,
ad3041e61896b975,K-1 Hero's 10,2007-09-17,"Yokohama, Kanagawa, Japan",0,
f341f9551ba744e2,UFC Fight Night: Thomas vs Florian,2007-09-19,"Las Vegas, Nevada, USA",1,97.0
6bb1d2b714d4b3bc,IFL - 2007 Team Championship Final,2007-09-20,"Hollywood, Florida, USA",0,
bad28b7b34f334de,UFC 76: Knockout,2007-09-22,"Anaheim, California, USA",1,98.0
6a92caba39b64752,Cage Rage 23: Unbelievable,2007-09-22,"London, England, United Kingdom",0,
75f871836d41f90f,Strikeforce - Playboy Mansion,2007-09-29,"Beverly Hills, California, USA",0,
e0f7c4f3f67bc808,HCF - Title Wave,2007-10-19,"Calgary, Alberta, Canada",0,
91181b29be041f1c,UFC 77: Hostile Territory,2007-10-20,"Cincinnati, Ohio, USA",1,99.0
15df64c02b6b0fde,K-1 Hero's Korea 2007,2007-10-28,"Seoul, South Korea",0,
ee9d73f4fee9cbdd,IFL - World Grand Prix Semifinals,2007-11-03,"Chicago, Illinois, USA",0,
5be86bb2f78fef2f,EliteXC - Renegade,2007-11-10,"Corpus Christi, Texas, USA",0,
