id,name,nickname,height_inches,reach_inches,stance,date_of_birth
0abcf6bc47191219,Bruno Lopes,Brunao,74.0,74.0,Orthodox,1993-04-24
0adf1aacda5e26ac,AJ Fonseca,,64.0,,,
0b31f87be71ebbb1,Ben Askren,Funky,71.0,73.0,Orthodox,1984-07-18
0b362247806341e5,JP Buys,Young Savage,65.0,67.0,Orthodox,1996-04-30
0b534765dca35e71,Josh Neal,,72.0,,,
0b5b6876c2a4723f,Steve Steinbeiss,The Hooligan,75.0,75.0,Orthodox,1981-05-05
0b64d0fed453ef7f,Scott Jorgensen,Young Guns,65.0,66.0,Orthodox,1982-09-17
0b77a05bcbd2de74,Marloes Coenen,,69.0,67.0,,1981-03-31
0b8d512c79b4baf3,Matt Bessette,The Mangler,70.0,70.0,Orthodox,1984-12-28
0b935b9bbbe5fc07,Keith Berry,,73.0,,,1987-10-25
0bbb69f69c9a2eea,Nate Smith,The Savage,66.0,69.0,Switch,1995-04-09
0bc697c5936a2d0a,Trevor Peek,,69.0,70.0,Switch,1995-01-09
0bc7e61d204f2137,Fabiano Scherner,Pegaleve,75.0,,Orthodox,1972-06-30
0bcfe2513cb3bc39,Tom DeBlass,,72.0,,Orthodox,1982-05-14
0be6776db31d98ec,Mitch Raposo,,65.0,64.0,Switch,1998-10-16
0c01568b1ac77bff,Mike Seal,Crazy Boy,76.0,,Orthodox,
0c1773639c795466,Doug Marshall,The Rhino,70.0,,Orthodox,1975-09-09
0c1a04afca64e38f,Josh Appelt,,70.0,,Southpaw,1983-06-19
0c258d1d8e16e5f1,Kevin Natividad,Quicksand,66.0,70.0,Orthodox,1993-04-02
0c25d0a5e8cdbf19,Lukasz Brzeski,The Bull,76.0,78.0,Orthodox,1992-05-17
0c277f3ff66b0208,Virgil Zwicker,RezDog,74.0,74.0,,1982-06-26
0c3838c8f7c620c2,Ryan Gracie,,69.0,,Orthodox,1974-08-14
0c5c66ddd1886b83,Caio Magalhaes,Hellboy,73.0,73.0,Orthodox,1987-12-14
0c670b443c3d269f,Jim Wallhead,Judo,70.0,,Orthodox,1984-03-14
0c6d9ea8306c029e,Brad Tavares,,73.0,74.0,Orthodox,1987-12-21
0c9c0a43d3f3f49d,Marcelo Guimaraes,Magrao,72.0,73.0,Orthodox,1983-06-25
0ccab7c889ede9ea,Fredy Serrano,El Profe,63.0,65.0,Orthodox,1979-09-22
0cd0456d6029cec2,Robert Valentin,Robzilla,74.0,77.0,Orthodox,1995-03-31
0cf935519d439ba6,Enson Inoue,Yamato Damashii,70.0,,Orthodox,1967-04-15
0cf9f5518d6063bb,Angelo Trevino,Baby Monsta,71.0,,Switch,1993-06-10
0cfbbfa0ba6d9855,Mike Hayes,,76.0,,Orthodox,
0d0351c20169a499,Jon Delos Reyes,The Heat,66.0,67.0,Orthodox,1987-08-19
0d09efd31eb9fadf,Jansey Silva,Jones,74.0,67.0,Orthodox,1995-05-30
0d16bdb7d32e88e9,Hiroyuki Takaya,Streetfight Bancho,66.0,,Orthodox,1977-06-10
0d1c163b206e8c5f,Rocky Lee,,69.0,,Orthodox,1987-04-08
0d49ddc07bd8c747,Jonny Carson,,70.0,,,
0d506315895efffc,Sean Pierson,The Punisher,72.0,76.0,Southpaw,1976-03-10
0d5cc0170c1a7e71,Mick Parkin,,76.0,79.0,Orthodox,1995-10-02
0d62719b1dcf7c40,Sheymon Moraes,,68.0,72.0,Orthodox,1990-10-11
0d65c432720accb9,Michal Oleksiejczuk,Hussar,72.0,74.0,Southpaw,1995-02-22
0d7b51c9d2649a6e,Dricus Du Plessis,Stillknocks,73.0,76.0,Switch,1994-01-14
0d8011111be000b2,Sean Strickland,,73.0,76.0,Orthodox,1991-02-27
0d980975001ae3d8,Shamil Gamzatov,,74.0,76.0,Orthodox,1990-08-09
0db70ca89e1c7374,Dieusel Berto,,69.0,,,
0db9d2486d564a3c,Ivan Lopez,,66.0,,Southpaw,
0dba4df5f34d5ff0,Rafael Natal,Sapo,72.0,77.0,Orthodox,1982-12-25
0de720c0f1d4ab9c,Danny Chavez,The Colombian Warrior,68.0,67.0,Orthodox,1987-03-14
0e041d43a47d2e4b,Matt Lindland,The Law,72.0,74.0,Southpaw,1970-05-17
0e21976afc92e4d1,Magnus Cedenblad,Jycken,77.0,79.0,Orthodox,1982-04-10
0e2c2daf11b5d8f2,Issac DeJesus,,,,,
0e31bfd26cc8c503,Chris Liguori,,69.0,,Orthodox,
0e46690e55a8df75,Timmy Cuamba,Twilight,69.0,71.0,Orthodox,1999-02-08
0e4daed84a8f39a6,Eric Esch,Butterbean,71.0,,Orthodox,1968-08-03
0e5c4e72237461bb,Bruno Souza,The Tiger,70.0,70.0,Orthodox,1996-03-07
0e5c79b3594ff0ad,Sherrard Blackledge,The Thriller,71.0,75.0,Orthodox,1993-08-16
0e9869d712e81f8f,Sam Adkins,The Experience,75.0,,Orthodox,1965-04-26
0e98b05d3cf6d271,Trevor Harris,,66.0,,,
0ec821423baa26bd,Scott Fiedler,,76.0,,Orthodox,
0ee783aa00e468f0,Vitor Belfort,The Phenom,72.0,74.0,Southpaw,1977-04-01
0eec866a077889f0,Manny Tapia,The Mangler,65.0,67.0,Orthodox,1981-03-14
