id,name,nickname,date_of_birth,height,reach,stance,team_id,nationality,fighting_style
2335642,James Lee,,22/9/1973,"5' 11""",,Southpaw,,,
2335643,Vinny Magalhaes,Pezao,2/7/1984,"6' 3""","75""",--,2246.0,Brazil,Brazilian Jiu-Jitsu
2335644,Eliot Marshall,The Fire,7/7/1980,"6' 3""","77""",Orthodox,,,
2335645,Antonio Mendes,Samuray,19/4/1981,"6' 3""","77""",Southpaw,,,
2335646,Guy Mezger,The Sandman,1/1/1968,"6' 1""",,Orthodox,,,
2335647,Mark Munoz,The Filipino Wrecking Machine,9/2/1978,"6' 0""","72""",Orthodox,121.0,USA,Wrestling
2335648,Jake O'Brien,,25/9/1984,"6' 3""","76.5""",Orthodox,,,
2335649,Michael Patt,,,"6' 0""",,Orthodox,,,
2335650,Eric Schafer,Red,20/9/1977,"6' 3""","76.5""",Orthodox,,,
2335651,Krzysztof Soszynski,The Polish Experiment,22/8/1977,"6' 1""","77.5""",Open Stance,121.0,,
2335652,Brandon Vera,The Truth,10/10/1977,"6' 2""","76""",Orthodox,147.0,USA,Muay Thai
2335653,Ken Shamrock,The World's Most Dangerous Man,11/2/1964,"6' 1""","72.5""",Orthodox,1725.0,,Shootfighting
2335654,Cain Velasquez,,28/7/1982,"6' 1""","77""",Orthodox,22.0,USA,"Wrestling,Striker"
2335655,Cheick Kongo,,17/5/1975,"6' 4""","84""",Orthodox,10387.0,France,Kickboxing
2335656,Shane Carwin,,4/1/1975,"6' 2""","80""",Orthodox,426.0,,
2335657,Mostapha Al-Turk,,14/7/1973,"6' 2""","77.5""",Orthodox,,,
2335658,Pat Barry,HD,7/7/1979,"5' 11""","74.5""",Orthodox,41.0,,
2335659,Georges St-Pierre,Rush,19/5/1981,"5' 11""","76""",Orthodox,221.0,,
2335660,Thiago Alves,Pitbull,3/10/1983,"5' 9""","70""",Orthodox,25.0,Brazil,Striker
2335661,Matt Hughes,,13/10/1973,"5' 9""","73""",Switch,425.0,,
