bout_id,round,judge_id,judge_order,fighter_1_score,fighter_2_score
751,1,55.0,3,,
751,2,55.0,3,,
751,3,55.0,3,,
751,4,55.0,3,,
751,5,55.0,3,,
751,Total,55.0,3,49.0,45.0
752,1,57.0,1,,
752,2,57.0,1,,
752,3,57.0,1,,
752,Total,57.0,1,30.0,26.0
752,1,12.0,2,,
752,2,12.0,2,,
752,3,12.0,2,,
752,Total,12.0,2,30.0,27.0
752,1,55.0,3,,
752,2,55.0,3,,
752,3,55.0,3,,
752,Total,55.0,3,29.0,29.0
747,1,12.0,1,,
747,2,12.0,1,,
747,3,12.0,1,,
747,Total,12.0,1,29.0,28.0
747,1,64.0,2,,
747,2,64.0,2,,
747,3,64.0,2,,
747,Total,64.0,2,29.0,27.0
747,1,55.0,3,,
747,2,55.0,3,,
747,3,55.0,3,,
747,Total,55.0,3,29.0,28.0
753,1,39.0,1,,
753,2,39.0,1,,
753,3,39.0,1,,
753,Total,39.0,1,29.0,28.0
753,1,64.0,2,,
753,2,64.0,2,,
753,3,64.0,2,,
753,Total,64.0,2,29.0,27.0
753,1,55.0,3,,
753,2,55.0,3,,
753,3,55.0,3,,
753,Total,55.0,3,29.0,27.0
754,1,39.0,1,,
754,2,39.0,1,,
754,3,39.0,1,,
754,4,39.0,1,,
754,5,39.0,1,,
754,Total,39.0,1,49.0,47.0
754,1,12.0,2,,
754,2,12.0,2,,
754,3,12.0,2,,
754,4,12.0,2,,
754,5,12.0,2,,
754,Total,12.0,2,48.0,47.0
754,1,42.0,3,,
754,2,42.0,3,,
754,3,42.0,3,,
754,4,42.0,3,,
754,5,42.0,3,,
754,Total,42.0,3,48.0,47.0
755,1,39.0,1,,
755,2,39.0,1,,
755,3,39.0,1,,
755,4,39.0,1,,
755,5,39.0,1,,
755,Total,39.0,1,50.0,43.0
755,1,57.0,2,,
755,2,57.0,2,,
755,3,57.0,2,,
755,4,57.0,2,,
755,5,57.0,2,,
755,Total,57.0,2,50.0,44.0
755,1,12.0,3,,
755,2,12.0,3,,
755,3,12.0,3,,
755,4,12.0,3,,
755,5,12.0,3,,
755,Total,12.0,3,50.0,44.0
746,1,57.0,1,,
746,2,57.0,1,,
746,3,57.0,1,,
746,Total,57.0,1,29.0,28.0
746,1,42.0,2,,
746,2,42.0,2,,
746,3,42.0,2,,
746,Total,42.0,2,29.0,27.0
746,1,49.0,3,,
746,2,49.0,3,,
746,3,49.0,3,,
746,Total,49.0,3,28.0,28.0
815,1,39.0,1,,
815,2,39.0,1,,
815,3,39.0,1,,
815,Total,39.0,1,30.0,26.0
815,1,12.0,2,,
815,2,12.0,2,,
815,3,12.0,2,,
815,Total,12.0,2,30.0,27.0
815,1,11.0,3,,
815,2,11.0,3,,
815,3,11.0,3,,
815,Total,11.0,3,30.0,28.0
816,1,39.0,1,,
816,2,39.0,1,,
816,3,39.0,1,,
816,Total,39.0,1,30.0,26.0
816,1,12.0,2,,
816,2,12.0,2,,
816,3,12.0,2,,
816,Total,12.0,2,30.0,26.0
816,1,11.0,3,,
816,2,11.0,3,,
816,3,11.0,3,,
816,Total,11.0,3,30.0,25.0
819,1,12.0,1,,
819,2,12.0,1,,
819,3,12.0,1,,
819,Total,12.0,1,30.0,27.0
819,1,18.0,2,,
819,2,18.0,2,,
819,3,18.0,2,,
819,Total,18.0,2,30.0,27.0
819,1,11.0,3,,
819,2,11.0,3,,
819,3,11.0,3,,
819,Total,11.0,3,30.0,27.0
822,1,39.0,1,,
822,2,39.0,1,,
822,3,39.0,1,,
822,4,39.0,1,,
822,5,39.0,1,,
822,Total,39.0,1,48.0,45.0
822,1,12.0,2,,
822,2,12.0,2,,
822,3,12.0,2,,
822,4,12.0,2,,
822,5,12.0,2,,
822,Total,12.0,2,47.0,47.0
822,1,18.0,3,,
822,2,18.0,3,,
822,3,18.0,3,,
822,4,18.0,3,,
822,5,18.0,3,,
822,Total,18.0,3,48.0,47.0
831,1,39.0,1,,
831,2,39.0,1,,
831,3,39.0,1,,
831,Total,39.0,1,30.0,27.0
831,1,42.0,2,,
831,2,42.0,2,,
831,3,42.0,2,,
831,Total,42.0,2,30.0,27.0
831,1,49.0,3,,
831,2,49.0,3,,
831,3,49.0,3,,
831,Total,49.0,3,30.0,27.0
840,1,57.0,1,,
840,2,57.0,1,,
840,3,57.0,1,,
840,Total,57.0,1,29.0,28.0
840,1,12.0,2,,
840,2,12.0,2,,
840,3,12.0,2,,
840,Total,12.0,2,29.0,27.0
840,1,49.0,3,,
840,2,49.0,3,,
840,3,49.0,3,,
840,Total,49.0,3,29.0,27.0
834,1,12.0,1,,
834,2,12.0,1,,
834,3,12.0,1,,
834,Total,12.0,1,29.0,28.0
834,1,42.0,2,,
834,2,42.0,2,,
834,3,42.0,2,,
834,Total,42.0,2,30.0,29.0
834,1,49.0,3,,
834,2,49.0,3,,
834,3,49.0,3,,
834,Total,49.0,3,29.0,28.0
844,1,58.0,1,,
844,2,58.0,1,,
844,3,58.0,1,,
844,Total,58.0,1,30.0,27.0
844,1,66.0,2,,
844,2,66.0,2,,
844,3,66.0,2,,
844,Total,66.0,2,29.0,28.0
844,1,55.0,3,,
844,2,55.0,3,,
844,3,55.0,3,,
844,Total,55.0,3,30.0,27.0
846,1,58.0,1,,
846,2,58.0,1,,
846,3,58.0,1,,
846,Total,58.0,1,30.0,27.0
846,1,42.0,2,,
846,2,42.0,2,,
846,3,42.0,2,,
846,Total,42.0,2,30.0,27.0
846,1,49.0,3,,
846,2,49.0,3,,
846,3,49.0,3,,
846,Total,49.0,3,29.0,28.0
856,1,12.0,1,,
856,2,12.0,1,,
856,3,12.0,1,,
856,Total,12.0,1,30.0,26.0
856,1,42.0,2,,
856,2,42.0,2,,
856,3,42.0,2,,
856,Total,42.0,2,30.0,26.0
856,1,41.0,3,,
856,2,41.0,3,,
856,3,41.0,3,,
856,Total,41.0,3,30.0,27.0
857,1,57.0,1,,
857,2,57.0,1,,
857,3,57.0,1,,
857,Total,57.0,1,30.0,27.0
857,1,12.0,2,,
857,2,12.0,2,,
857,3,12.0,2,,
857,Total,12.0,2,30.0,27.0
857,1,42.0,3,,
857,2,42.0,3,,
857,3,42.0,3,,
857,Total,42.0,3,30.0,26.0
850,1,57.0,1,,
850,2,57.0,1,,
850,3,57.0,1,,
850,Total,57.0,1,29.0,28.0
850,1,12.0,2,,
850,2,12.0,2,,
850,3,12.0,2,,
850,Total,12.0,2,29.0,28.0
850,1,42.0,3,,
850,2,42.0,3,,
850,3,42.0,3,,
850,Total,42.0,3,29.0,28.0
860,1,39.0,1,,
860,2,39.0,1,,
860,3,39.0,1,,
860,Total,39.0,1,30.0,28.0
860,1,12.0,2,,
860,2,12.0,2,,
860,3,12.0,2,,
860,Total,12.0,2,29.0,28.0
860,1,42.0,3,,
860,2,42.0,3,,
860,3,42.0,3,,
860,Total,42.0,3,29.0,28.0
863,1,57.0,1,,
863,2,57.0,1,,
863,3,57.0,1,,
863,Total,57.0,1,29.0,27.0
863,1,12.0,2,,
863,2,12.0,2,,
863,3,12.0,2,,
863,Total,12.0,2,29.0,27.0
863,1,42.0,3,,
863,2,42.0,3,,
863,3,42.0,3,,
863,Total,42.0,3,29.0,27.0
864,1,39.0,1,,
864,2,39.0,1,,
864,3,39.0,1,,
864,Total,39.0,1,29.0,28.0
864,1,12.0,2,,
864,2,12.0,2,,
864,3,12.0,2,,
864,Total,12.0,2,29.0,28.0
864,1,42.0,3,,
864,2,42.0,3,,
864,3,42.0,3,,
864,Total,42.0,3,29.0,28.0
887,1,39.0,1,,
887,2,39.0,1,,
887,3,39.0,1,,
887,Total,39.0,1,0.0,0.0
887,1,57.0,2,,
887,2,57.0,2,,
887,3,57.0,2,,
887,Total,57.0,2,0.0,0.0
887,1,67.0,3,,
887,2,67.0,3,,
887,3,67.0,3,,
887,Total,67.0,3,0.0,0.0
888,1,39.0,1,,
888,2,39.0,1,,
888,3,39.0,1,,
888,Total,39.0,1,29.0,28.0
888,1,57.0,2,,
888,2,57.0,2,,
888,3,57.0,2,,
888,Total,57.0,2,30.0,27.0
888,1,18.0,3,,
888,2,18.0,3,,
888,3,18.0,3,,
888,Total,18.0,3,29.0,28.0
889,1,57.0,1,,
889,2,57.0,1,,
889,3,57.0,1,,
889,Total,57.0,1,29.0,28.0
889,1,18.0,2,,
889,2,18.0,2,,
889,3,18.0,2,,
889,Total,18.0,2,29.0,28.0
889,1,67.0,3,,
889,2,67.0,3,,
889,3,67.0,3,,
889,Total,67.0,3,29.0,28.0
890,1,39.0,1,,
890,2,39.0,1,,
890,3,39.0,1,,
890,4,39.0,1,,
890,5,39.0,1,,
890,Total,39.0,1,48.0,46.0
890,1,18.0,2,,
890,2,18.0,2,,
890,3,18.0,2,,
890,4,18.0,2,,
890,5,18.0,2,,
890,Total,18.0,2,47.0,48.0
890,1,67.0,3,,
890,2,67.0,3,,
890,3,67.0,3,,
